date,nav_raw,nav_q3z,nav_stack_base,nav_stack_comb_best,nav_ddc15_actual,pos_MA15_base,pos_comb_best,pos_ddc_base,pos_ddc_comb,dd_raw,rv_hi
2006-05-30,1.1713253634189775,1.0936097587649494,1.0852644028818694,1.1085948172801674,1.1741647210915012,0.18,1.0,1.0,1.0,0.0,0.0
2006-05-31,1.1673346216472462,1.0929390855507737,1.084185681973786,1.1074929066261208,1.1716628071831103,0.2917409943145632,1.0,1.0,1.0,-0.0034070309551590405,0.0
2006-06-01,1.1848425529404465,1.097721342242268,1.0889296373332273,1.112338844916292,1.1888241720840786,0.2917409943145632,1.0,1.0,1.0,0.0,0.0
2006-06-02,1.1862594746545454,1.0981043210822596,1.0893095488766127,1.1127269235880919,1.1907196546191667,0.2917409943145632,1.0,1.0,1.0,0.0,0.0
2006-06-05,1.1993760247177614,1.1016465855791666,1.092823443200719,1.1163163576705422,1.2036607698109052,0.2917409943145632,1.0,1.0,1.0,0.0,0.0
2006-06-06,1.197262250992553,1.1010801599658178,1.0922615541183216,1.1157423894071608,1.1996860019870426,0.2917409943145632,1.0,1.0,1.0,-0.0017623945131851615,0.0
2006-06-07,1.1686275401668595,1.0933973532371646,1.0846402793714496,1.1079572767074215,1.1700307775901662,0.2917409943145632,1.0,1.0,1.0,-0.02563706787296971,0.0
2006-06-08,1.1652840448617483,1.0924847120215322,1.083734947544773,1.1070324825574365,1.1678116760155857,0.2917409943145632,1.0,1.0,1.0,-0.028424763504869666,0.0
2006-06-09,1.1543215268509952,1.089486299748594,1.0807605497050838,1.1070324825574365,1.158263715210453,0.2917409943145632,0.0,1.0,1.0,-0.037564947888105826,0.0
2006-06-12,1.152371816829456,1.0889494380003664,1.0802279877093397,1.1070324825574365,1.1570335263714226,0.2917409943145632,0.0,1.0,1.0,-0.03919055151979245,0.0
2006-06-13,1.153892975821746,1.0893687981462161,1.0806439891788924,1.1070324825574365,1.1589965360192267,0.2917409943145632,0.0,1.0,1.0,-0.03792225954051276,0.0
2006-06-14,1.1522635108652255,1.0889199991405583,1.0801987846268262,1.1070324825574365,1.158015139041883,0.2917409943145632,0.0,1.0,1.0,-0.039280853445125774,0.0
2006-06-15,1.1551937130488756,1.0897278649187037,1.0810001801677134,1.1070324825574365,1.1608502447580276,0.2917409943145632,0.0,1.0,1.0,-0.036837747927538245,0.0
2006-06-16,1.164387939335413,1.0922581874729453,1.0835102372425793,1.1070324825574365,1.1696372541886983,0.2917409943145632,0.0,1.0,1.0,-0.02917190660917357,0.0
2006-06-19,1.1685908832694296,1.093408401516748,1.0846512391648113,1.1081982548290357,1.1737550316114582,0.2917409943145632,1.0,1.0,1.0,-0.025667631179784656,0.0
2006-06-20,1.172748903168875,1.0945434226163713,1.0857771698239107,1.109348628650978,1.177397565682532,0.2917409943145632,1.0,1.0,1.0,-0.022200811922309716,0.0
2006-06-21,1.1700233360451318,1.0938012886638746,1.0850409796592062,1.1085964563154942,1.174842058689618,0.2917409943145632,1.0,1.0,1.0,-0.024473299505496593,0.0
2006-06-22,1.170076396781292,1.0938157602001217,1.0850553352921988,1.108611123599184,1.1741242166557075,0.2917409943145632,1.0,1.0,1.0,-0.024429059221326543,0.0
2006-06-23,1.175524175768308,1.0953015141616487,1.0865291897762404,1.1101169744276445,1.178776730494465,0.2917409943145632,1.0,1.0,1.0,-0.019886881559989744,0.0
2006-06-26,1.1849813950720638,1.0978722830868222,1.0890793692850387,1.1127225165402659,1.187940913192109,0.2917409943145632,1.0,1.0,1.0,-0.012001765375529327,0.0
2006-06-27,1.1883898403364597,1.098793568239582,1.0899932758191195,1.113656263342533,1.190925410508333,0.2917409943145632,1.0,1.0,1.0,-0.009159916619049469,0.0
2006-06-28,1.190568113261203,1.0993811481388773,1.0905761497617332,1.1142517910685579,1.192495588120779,0.2917409943145632,1.0,1.0,1.0,-0.007343744809832353,0.0
2006-06-29,1.1967499727799609,1.101046517725405,1.092228181320288,1.1159396870705232,1.1981415851328312,0.2917409943145632,1.0,1.0,1.0,-0.00218951511759502,0.0
2006-06-30,1.1948929736410223,1.1005480794294589,1.0917710274521444,1.1154726087133775,1.1961004414041436,0.2697371378121383,1.0,1.0,1.0,-0.003737819486423377,0.0
2006-07-03,1.2002421114729578,1.1018770168982843,1.0930893664260413,1.116819567899328,1.2007887526329324,0.2697371378121383,1.0,1.0,1.0,0.0,0.0
2006-07-04,1.199197517922925,1.1016183431542426,1.092832755647661,1.1165573862814004,1.1997436833306956,0.2697371378121383,1.0,1.0,1.0,-0.000870319029842026,0.0
2006-07-05,1.201387410367457,1.1021609733632924,1.093371058291529,1.117107375097127,1.2019345731451208,0.2697371378121383,1.0,1.0,1.0,0.0,0.0
2006-07-06,1.2079956359063826,1.103796236152237,1.0949932795907256,1.1187648136799664,1.208545808350212,0.2697371378121383,1.0,1.0,1.0,0.0,0.0
2006-07-07,1.206510050784824,1.1034300837990627,1.094630047362801,1.1183936959358023,1.2070595466301852,0.2697371378121383,1.0,1.0,1.0,-0.0012297934507385921,0.0
2006-07-10,1.2161649999027029,1.1058118800671781,1.0969928484138647,1.1208077917361383,1.21671889302136,0.2697371378121383,1.0,1.0,1.0,0.0,0.0
2006-07-11,1.2180237111058512,1.1062677504862246,1.097445083191327,1.1212698442126032,1.2185784507604185,0.2697371378121383,1.0,1.0,1.0,0.0,0.0
