ym,market_cap_log,circ_mv,float_ratio,mv_volatility_60d,avg_amount_20d,turnover_rate,amihud_illiquidity,amount_cv,zero_volume_ratio,log_amount_60d,turnover_rate_60d,amihud_60d,amount_cv_60d,turnover_std_20d,amount_ratio_10_60,volume_slope_20d,turnover_chg_20_60,vp_corr,volume_surge,up_down_volume_ratio,obv_factor,vr,mfi,tail_volume_ratio,vp_corr_60d,obv_slope_60d,vol_surge_5d,vwap_slope_20d,volatility_20d,volatility_60d,idiosyncratic_vol,volatility_120d,downside_vol_20d,return_skew_60d,return_kurt_60d,atr_ratio_20d,gk_vol_20d,vol_ratio_20_60,max_drawdown_20d,max_drawdown_60d,max_drawdown_120d,max_drawdown_250d,dd_current,dd_area_120d,dd_duration_120d,return_5d,return_10d,return_20d,return_60d,return_120d,return_250d,mom_3_1,mom_6_1,mom_12_1,mom_accel,price_52w_pos,rsi_14,macd_hist_norm,boll_pos_20,ma5_ma20_ratio,ma20_ma60_ratio,roe,roa,roe_ttm,roa_ttm,net_profit_margin,gross_profit_margin,revenue_growth_yoy,profit_growth_yoy,ocf_to_asset,div_yield_ttm,debt_to_asset,vp_divergence_20d,up_vol_shrink_ratio,down_vol_expand_ratio,turnover_zscore_20d,turnover_momentum_5_20,realized_vol_ratio_5_60,overnight_gap_ratio_20d,large_order_proxy_20d,vol_ma_ratio_5_20,price_level_log,shell_value_proxy,mktcap_rank_pct,microcap_liq_interact,strong_reversal_micro,gp_margin,roe_report,accrual_quality,cf_or_ratio,cf_np_ratio,ocf_stability,dupont_np_margin,dupont_asset_turn,dupont_leverage,dupont_roe_check,dupont_tax_burden,cash_to_asset,inventory_to_asset,ar_to_asset,asset_yoy,revenue_yoy,net_profit_yoy,profit_accel,revenue_accel,growth_persist,margin_trend
2006-12,0.056426,0.011227,-0.064225,0.131081,0.07575,0.108966,0.072789,-0.030148,-0.012919,0.063279,0.093898,0.055231,0.009032,0.064367,0.064271,0.038486,0.067763,-0.030911,0.10832,-0.131654,-0.121996,0.13849,0.144256,,-0.065045,-0.098322,0.067922,-0.101274,0.110629,0.074842,0.05974,0.038921,-0.01624,0.076977,0.021884,0.053489,0.074664,0.072336,0.141134,0.151704,0.110313,0.08765,0.08765,0.005532,0.075705,0.173916,0.18107,0.142928,0.131874,0.097301,0.085624,-0.083784,-0.051978,-0.053079,0.00272,-0.087688,0.157483,-0.108425,-0.190601,-0.137925,-0.156151,,,,,,,,,,,,-0.013055,-0.05949,-0.069217,0.101307,0.076902,0.087946,0.02895,0.038081,-0.067922,0.066889,-0.055519,0.055519,0.079907,0.113325,-0.086818,-0.101497,-0.013315,0.022248,0.013315,0.020116,-0.13453,0.02407,0.011581,-0.095144,0.025212,-0.048696,0.072262,-0.084265,-0.113922,-0.022192,-0.056769,,,0.017967,
2007-01,0.122244,0.128215,-0.052199,0.315386,0.208613,-0.182511,0.19582,-0.053818,0.006842,0.238321,-0.097907,0.212279,-0.189576,-0.183151,-0.175821,-0.148489,-0.251583,0.244618,0.007001,0.032372,0.12879,0.002439,-0.037889,,0.222365,0.042627,-0.021327,-0.184092,0.133395,0.186362,0.191203,0.093009,-0.006539,0.114067,-0.054635,0.156615,0.206199,-0.084925,-0.050311,-0.044431,-0.023096,0.03159,0.03159,0.227362,0.331177,0.102783,-0.003014,0.086788,0.350549,0.351329,0.32918,-0.291032,-0.302968,-0.287099,-0.17667,-0.031418,0.129484,0.038147,-0.036852,-0.076804,-0.280965,,,,,,,,,,,,0.161008,-0.148188,0.100337,-0.003805,-0.025171,-0.130343,0.034745,0.091227,0.021327,0.283587,-0.141395,0.141395,0.191741,-0.061566,-0.24797,-0.273537,0.00911,-0.095586,-0.00911,-0.082883,-0.281167,-0.072201,-0.111423,-0.308551,0.060609,-0.132879,-0.012499,-0.027895,-0.09552,-0.116172,-0.198316,,,-0.131196,
2007-02,0.194783,0.220514,0.003596,0.144554,0.308671,-0.203659,0.304129,-0.115599,0.043213,0.35884,-0.097141,0.335279,-0.293954,-0.214736,-0.32863,-0.195283,-0.262898,-0.00353,-0.065268,0.123555,0.180147,-0.139794,-0.212843,,0.039094,0.07368,-0.160418,-0.024069,0.098863,0.257615,0.211186,0.184358,-0.154077,0.050499,-0.094609,0.269612,0.160491,-0.169346,-0.281662,-0.273901,-0.260579,-0.212416,-0.212416,0.157766,0.22347,-0.245321,-0.224132,-0.194611,0.090521,0.228644,0.266837,-0.27459,-0.359771,-0.332102,-0.26201,0.212302,-0.241336,0.252713,0.271552,0.173333,-0.083501,,,,,,,,,,,,0.07278,0.029695,0.198836,-0.048021,-0.147664,-0.194942,-0.005442,0.068756,0.160418,0.257037,-0.221518,0.221518,0.299154,-0.257183,-0.145704,-0.329485,0.029878,-0.080201,-0.029878,-0.130128,-0.29503,-0.162207,-0.080581,-0.33781,0.044448,-0.171166,0.031457,-0.018215,-0.161379,-0.164172,-0.163618,,,-0.180411,
2007-03,-0.046167,-0.042405,-0.004362,-0.209878,-0.063584,-0.10314,-0.036573,0.118846,-0.027693,-0.034233,-0.115578,-0.01805,-0.020806,-0.043865,-0.090709,-0.017226,-0.010483,-0.029019,0.132967,0.160634,0.156286,-0.190117,-0.055754,,0.070948,0.244655,0.12729,0.250717,-0.07385,0.026331,0.032375,0.072327,0.134728,0.086049,-0.011207,-0.122998,-0.143676,-0.089848,0.010562,-0.106019,-0.107571,-0.117557,-0.117557,0.013638,-0.125452,0.042031,-0.111243,-0.135858,-0.24879,-0.122295,0.051179,0.246546,0.079177,-0.077815,-0.108795,0.117375,-0.078791,-0.067608,0.054087,0.177499,0.26288,,,,,,,,,,,,-0.037519,0.148767,0.108386,0.185529,0.115626,-0.108548,0.026428,-0.11412,-0.12729,0.13314,0.040299,-0.040299,-0.043239,-0.086446,-0.103234,-0.174461,-0.017204,-0.055489,0.017204,-0.0255,-0.13498,-0.038573,0.003841,-0.190301,-0.037117,-0.093482,0.068093,0.038675,-0.101948,-0.091336,-0.120062,,,-0.016764,
2007-04,-0.034393,-0.030496,-0.007118,0.010736,-0.023542,0.178678,-0.044796,0.004762,0.08595,-0.031112,0.161313,-0.02527,0.012377,0.143001,0.111148,0.139713,0.111917,-0.127369,0.129836,-0.167252,-0.152706,0.196788,0.203506,,-0.152846,-0.094982,0.16327,-0.030009,0.076956,0.07841,0.032253,0.037903,-0.031692,-0.028351,0.053846,0.057214,0.174545,-0.003678,0.198983,0.200634,0.201958,0.207791,0.207791,-0.041254,-0.013081,0.191602,0.175408,0.143103,0.094664,0.052221,0.003791,-0.047192,0.033765,0.052604,0.062585,-0.207774,0.159622,-0.165635,-0.219488,-0.13574,-0.051731,,,,,,,,,,,,-0.134567,-0.014436,-0.158488,0.162666,0.158127,0.053252,-0.068041,0.011935,-0.16327,0.107855,0.020153,-0.020153,-0.0369,0.13467,0.052056,0.044199,-0.047379,0.035505,0.047379,0.052868,0.01155,-0.04968,-0.050774,0.072331,0.005027,-0.039022,-0.057265,0.129643,0.008273,0.003211,0.031236,0.009586,0.019168,-0.014861,-0.001905
2007-05,-0.030413,-0.045592,-0.005858,0.228323,-0.061406,0.524657,-0.155887,0.173761,-0.148043,-0.085365,0.522467,-0.176562,0.190578,0.47639,0.130552,0.002841,0.216091,-0.123873,-0.308779,-0.142887,-0.18745,0.162523,0.103673,,-0.118908,-0.368656,-0.120381,-0.295834,0.213138,0.255623,0.288736,0.065448,-0.269003,-0.245181,-0.088906,0.238463,0.054951,0.011407,-0.384198,-0.374379,-0.367724,-0.365287,-0.365287,-0.128039,0.154362,-0.337773,-0.158066,-0.015322,0.21094,0.193809,-0.016012,-0.363972,-0.178045,-0.00249,-0.023792,0.365287,-0.1337,0.206153,0.177542,-0.080992,-0.293859,,,,,,,,,,,,-0.164463,0.082032,-0.221421,-0.339976,-0.107059,-0.108878,0.149822,-0.115458,0.120381,-0.012068,0.043868,-0.043868,-0.128527,0.016114,0.198009,0.370872,0.032533,0.039387,-0.032533,0.13035,0.321718,0.118477,-0.014879,0.368072,-0.085186,0.16111,-0.028156,0.072728,0.230022,0.100706,0.129792,-0.035438,-0.041658,0.141053,0.057531
2007-06,0.173819,0.203369,0.035794,-0.102803,0.110096,-0.181975,0.126861,0.066108,-0.083411,0.064997,-0.246616,0.094919,0.01132,-0.112223,0.180424,0.24188,0.208798,-0.065927,0.08246,-0.106429,-0.118955,0.195324,0.157206,,0.027003,-0.025748,0.114627,-0.311873,-0.234042,-0.3188,-0.11818,-0.272349,0.365416,0.185643,0.142727,-0.389383,-0.223111,0.041632,0.381386,0.400417,0.398959,0.398862,0.398862,0.215547,-0.12451,0.355422,0.379735,0.32067,0.241739,0.08332,0.176804,0.054424,0.139636,-0.001646,0.151249,-0.398862,0.292972,-0.337228,-0.312001,-0.370539,-0.259889,,,,,,,,,,,,-0.093812,0.015166,-0.128448,0.146665,0.135331,-0.014058,0.029584,-0.141066,-0.114627,0.226919,-0.168681,0.168681,0.156051,0.287903,-0.100191,-0.137426,0.018836,-0.078244,-0.018836,-0.105946,-0.132603,-0.019705,-0.041191,-0.182426,0.026116,-0.054575,-0.07919,0.022396,-0.09482,-0.030892,-0.079996,-0.030225,0.009938,-0.052747,-0.020731
2007-07,-0.076255,-0.045672,0.064301,-0.038987,0.03882,0.136887,0.011099,0.080375,-0.04613,-0.035291,0.09835,-0.003546,-0.074232,0.148102,0.19181,-0.012741,0.088607,-0.058793,0.0929,0.004336,-0.135282,0.036777,-0.093293,,-0.073211,-0.189613,0.049664,-0.069581,0.127093,0.181929,0.144991,0.093353,-0.110349,-0.005045,0.007323,0.127153,0.134909,-0.000303,0.01888,0.122508,0.121261,0.121623,0.121623,0.112015,-0.009554,0.000104,-0.009625,0.053607,0.143791,0.05868,0.079189,-0.13636,-0.020685,-0.057084,0.032792,-0.121623,-0.052826,0.100284,-0.012443,0.025902,-0.154684,,,,,,,,,,,,-0.064771,0.098036,0.00106,0.068058,0.051354,0.018716,0.001431,-0.064544,-0.049664,0.116761,0.053205,-0.053205,-0.012641,0.070327,-0.068215,-0.02265,-0.046588,0.01595,0.046588,0.02829,-0.075188,-0.05826,-0.053002,-0.035169,0.053486,-0.081054,0.046834,0.068901,-0.007455,-0.047016,-0.035718,0.004281,-0.025876,0.013878,-0.061945
2007-08,-0.110881,-0.079883,0.110508,-0.010059,-0.03552,0.035785,-0.053424,0.079676,-0.04808,-0.051953,0.033208,-0.06877,0.09761,0.049766,0.00646,0.002287,0.027393,0.044104,-0.048184,0.132868,0.068378,-0.129913,-0.054341,,0.028684,-0.028288,0.036568,0.114149,0.071524,0.069904,0.07597,0.075837,-0.126226,0.031145,0.040412,0.096098,0.062751,0.009111,-0.13908,-0.145588,-0.045383,-0.047112,-0.047112,0.047528,-0.033008,-0.060463,-0.094775,-0.111676,-0.013246,0.005176,0.031219,-0.068883,-0.060943,-0.055668,-0.039881,0.047112,-0.087075,0.065192,0.117907,0.083982,0.08979,,,,,,,,,,,,0.023128,0.021406,0.074595,-0.061965,0.029946,-0.048399,-0.071912,-8e-05,-0.036568,0.032493,0.106911,-0.106911,-0.081895,-0.045933,-0.09665,-0.031357,-0.064698,0.056765,0.064698,0.064941,-0.046809,0.034716,-0.004232,-0.028846,0.007909,-0.08067,0.097981,0.038556,-0.029461,-0.074286,-0.068866,-0.053584,-0.065252,0.015411,-0.04205
2007-09,-0.053282,-0.047296,0.004379,0.012057,-0.068305,0.32521,-0.089946,0.145745,0.035631,-0.106221,0.278405,-0.139403,0.131022,0.310875,0.119856,-0.105297,0.178985,-0.112625,-0.139249,-0.095288,-0.134695,0.11284,0.074708,,-0.098414,-0.137481,-0.07808,-0.143007,0.133847,0.137036,0.139037,0.210569,-0.145945,-0.179891,0.004548,0.181901,0.187935,0.044363,-0.012207,0.021242,-0.190745,-0.188909,-0.188909,-0.357552,-0.125462,-0.107735,0.012146,0.098512,0.005608,-0.156743,-0.16027,0.051023,0.191846,0.183642,0.190205,0.188909,-0.003509,0.01716,-0.008682,-0.07782,-0.080382,,,,,,,,,,,,-0.149617,0.011134,-0.197795,-0.105333,-0.089751,-0.032467,0.021326,-0.119658,0.07808,-0.005813,0.049358,-0.049358,-0.07768,0.127001,0.136372,0.258058,-0.022949,0.092656,0.022949,0.1054,0.204489,0.01408,-0.05287,0.266254,-0.057291,0.068438,-0.052402,0.140906,0.122938,0.092062,0.091017,-0.021217,-0.006804,0.03328,0.023074
2007-10,0.303367,0.33311,0.020214,0.159297,0.500505,0.10576,0.473162,0.034816,-0.085356,0.423291,-0.075163,0.41593,-0.220134,0.093633,0.3951,0.295375,0.306349,-0.236963,0.051729,-0.275269,-0.25806,0.284096,0.299789,,0.005363,-0.068257,0.048498,-0.383714,0.216228,0.180074,0.151567,0.041532,0.075336,0.184015,-0.145974,0.119771,0.220455,0.09056,0.275768,0.353474,0.449841,0.449445,0.449445,0.427396,0.377484,0.086682,0.179718,0.395257,0.357251,0.500186,0.556484,-0.192021,-0.436663,-0.486667,-0.356504,-0.449448,0.322205,-0.086788,-0.25844,-0.341187,-0.37334,,,,,,,,,,,,-0.154063,0.037788,-0.206314,0.012323,0.044778,-0.195655,0.184746,-0.128147,-0.048498,0.306584,-0.303704,0.303704,0.432242,0.424382,-0.015421,-0.228076,0.055931,-0.107446,-0.055931,-0.140314,-0.174223,-0.034928,0.085104,-0.243491,0.08162,0.007663,0.080533,-0.242235,-0.161648,-0.073356,-0.096166,-0.019778,-0.03475,-0.009481,-0.013941
2007-11,0.144559,0.108785,-0.062834,-0.11021,0.035247,0.026863,0.030256,0.063832,0.046326,0.012729,-0.00939,0.0032,0.031161,0.064608,0.06758,0.075936,0.044129,-0.097175,0.140154,-0.109136,-0.073594,0.155153,0.095097,,-0.052813,-0.062451,0.124993,-0.121625,-0.037593,-0.082158,-0.090541,-0.102699,0.086592,-0.051534,-0.021166,-0.09066,-0.044698,0.02926,0.169565,0.167269,0.175254,0.108026,0.108026,-0.019232,-0.074728,0.2225,0.118645,0.132491,0.109244,0.051894,-0.024331,-0.014044,0.040218,0.060126,0.045287,-0.108026,0.113806,-0.062241,-0.198659,-0.115471,-0.089307,,,,,,,,,,,,-0.08202,0.032226,-0.098748,0.165998,0.131365,0.095816,0.078701,-0.061169,-0.124993,0.038284,-0.125877,0.125877,0.076739,0.177353,0.038694,0.051995,0.008942,-0.038757,-0.008942,0.030275,-0.014832,0.096916,0.016815,0.007493,0.001149,0.059833,0.030804,-0.045879,0.059012,0.030055,0.013769,-0.00526,0.015164,0.027293,0.027426
2007-12,0.177397,0.149597,-0.116202,0.138997,0.219544,0.123381,0.1672,-0.009069,-0.024439,0.201188,0.140349,0.146509,0.007329,0.095057,-0.008149,-0.102706,0.040892,-0.018037,-0.02477,0.123583,-0.009834,-0.116487,-0.099674,,-0.004074,0.01134,-0.023855,0.00283,0.210929,0.205292,0.157332,0.181496,-0.189977,0.126803,-0.124072,0.200932,0.166237,0.09509,-0.035587,-0.073975,-0.11106,-0.001053,-0.001053,0.033362,0.166313,0.027727,0.00586,0.009753,-0.010029,0.099067,0.206753,0.031144,-0.06478,-0.196792,-0.091095,0.001053,-0.116868,-0.041229,0.03514,-0.012734,0.046287,,,,,,,,,,,,-0.057757,0.100794,0.036964,-0.06011,-0.052246,0.036318,-0.017096,-0.00333,0.023855,0.138104,-0.175602,0.175602,0.182051,-0.130418,-0.025911,0.006289,-0.058684,-0.019143,0.058684,0.017366,-0.02677,0.038507,0.034701,-0.031011,0.036589,0.070059,-0.037263,3.4e-05,-0.045187,-0.017634,-0.051678,-0.059031,-0.045543,-0.014679,-0.015277
2008-01,0.183607,0.183778,-0.006561,-0.142666,0.139412,-0.276746,0.200852,-0.06242,-0.110447,0.154199,-0.294979,0.186351,-0.142367,-0.24531,0.014084,0.186339,-0.125674,0.117315,0.160523,0.091727,0.087869,-0.125575,-0.096116,,0.154238,0.140128,0.113303,0.146696,-0.183212,-0.096889,-0.10503,-0.080228,0.209118,0.137985,-0.172141,-0.210916,-0.135127,-0.195807,0.120361,0.085709,-0.011205,0.067872,0.067872,0.168678,0.130978,0.104557,0.155353,0.035778,-0.153302,-0.058911,0.047818,0.250464,0.000948,-0.050334,-0.150608,-0.067872,-0.006086,-0.170501,-0.078866,-0.078472,0.162811,,,,,,,,,,,,0.111344,0.015689,0.144858,0.117399,0.103955,-0.165988,0.12622,0.011473,-0.113303,0.147299,-0.172389,0.172389,0.20097,0.16719,-0.14895,-0.146941,-0.014496,-0.08524,0.014496,-0.081032,-0.172079,0.02691,0.013135,-0.216133,-0.01396,-0.042277,0.014241,-0.125898,-0.085454,-0.032677,-0.052754,0.040763,0.040589,-0.000202,-0.041654
2008-02,0.165682,0.161723,-0.030461,0.127675,0.169404,0.050058,0.147788,0.021058,-0.077698,0.16012,0.025226,0.136393,0.027792,0.044263,0.056595,5.5e-05,0.042137,0.028712,-0.003126,0.044204,0.018421,-0.075619,-0.013828,,0.029725,0.04693,0.004095,0.115473,0.132863,0.166059,0.116199,0.186697,-0.116607,0.058396,-0.117803,0.166478,0.139159,-0.006621,-0.088376,-0.131854,-0.134394,-0.068424,-0.068424,-0.019081,0.158236,-0.066992,-0.006964,-0.089403,-0.022632,0.015801,0.112665,0.009641,-0.072196,-0.133801,-0.072947,0.068424,-0.0451,0.008547,0.053703,0.042472,0.046037,,,,,,,,,,,,0.038432,-0.010092,0.052545,-0.028529,-0.003913,0.052606,0.058693,-0.037486,-0.004095,0.218301,-0.156518,0.156518,0.161627,-0.093796,0.117621,-0.011531,-0.012433,-0.006262,0.012433,-0.04873,0.045547,-0.083472,-0.019903,-0.018374,-0.004239,0.03641,-0.019285,0.02782,-0.01855,-0.042732,0.002043,-0.028356,-0.038595,-0.034698,-0.018004
2008-03,-0.137124,-0.155253,-0.011276,-0.209256,-0.235686,0.099074,-0.254868,0.208662,-0.025363,-0.255851,0.115373,-0.270432,0.131723,0.147315,-0.107556,-0.214977,-0.050523,-0.122722,-0.136297,-0.116398,-0.14399,0.191944,0.138605,,-0.175375,-0.182304,-0.106794,-0.242964,0.011413,-0.01694,-0.018895,-0.04254,0.037698,-0.155222,0.031035,-0.116794,-0.041575,0.047229,0.17743,0.216728,0.175725,0.06605,0.06605,-0.105,-0.200062,0.068478,0.122238,0.202147,0.148994,0.017131,-0.133346,-0.055628,0.109306,0.197942,0.190167,-0.06605,0.10793,-0.058674,-0.045851,-0.18724,-0.185966,,,,,,,,,,,,-0.035405,-0.091951,-0.15873,-0.044198,-0.106758,0.050053,-0.117796,-0.016768,0.106794,-0.058485,0.132938,-0.132938,-0.218708,-0.021142,0.072267,0.159158,-0.120893,0.14169,0.120893,0.133395,0.127495,0.024927,-0.020419,0.172745,-0.040279,0.014887,0.117006,0.081792,0.117176,0.04585,0.07478,0.030836,-0.003905,0.073358,0.017565
