date,MA15_on_f0,MA15_off_f0,MA15_on_f10,MA15_off_f10,MA15_on_f18,MA15_off_f18,MA15_on_f30,MA15_off_f30,MA20_on_f0,MA20_off_f0,MA20_on_f10,MA20_off_f10,MA20_on_f18,MA20_off_f18,MA20_on_f30,MA20_off_f30,MA50_on_f0,MA50_off_f0,MA50_on_f10,MA50_off_f10,MA50_on_f18,MA50_off_f18,MA50_on_f30,MA50_off_f30,MA100_on_f0,MA100_off_f0,MA100_on_f10,MA100_off_f10,MA100_on_f18,MA100_off_f18,MA100_on_f30,MA100_off_f30,MA200_on_f0,MA200_off_f0,MA200_on_f10,MA200_off_f10,MA200_on_f18,MA200_off_f18,MA200_on_f30,MA200_off_f30
2017-02-14,7.725743092716043,16.083364363812496,7.725743092716043,17.409252131187696,7.748303562511849,18.44978152248601,8.059556965340713,19.950470388709043,7.528891643346151,14.947394138069974,7.528891643346151,16.226189798129063,7.5519679586119555,17.24774321889584,7.870994044470448,18.756992550201897,7.405655237278087,16.469215701524217,7.405655237278087,17.74194947439187,7.451213897593376,18.73789808726106,7.8430320991659395,20.170892658722895,8.542264109731544,22.212043344975765,8.542264109731544,23.122672067767155,8.56725847494704,23.77709388651299,8.891312428297345,24.61899591027835,9.197195082265376,32.48939481317203,9.197195082265376,32.39926720270798,9.225701765058572,32.216212841084804,9.644327784407576,31.76034483969462
2017-02-15,7.691438550540081,15.981734167977278,7.691438550540081,17.299243698659847,7.713870584052062,18.33319802248982,8.023498857640345,19.824404090219204,7.508833364590215,14.947394138069974,7.508833364590215,16.215936527671833,7.531831673453537,17.228125403452992,7.8498653532395295,18.721435123601914,7.385925281773818,16.469215701524217,7.385925281773818,17.730738400895095,7.431346259298219,18.716585349600397,7.821978468252081,20.132654917078064,8.519506030211133,22.212043344975765,8.519506030211133,23.108060935187407,8.544415057095845,23.75004949967855,8.867444820994669,24.572325947718944,9.156356866081667,32.284095506214854,9.156356866081667,32.194537408851076,9.184703321000491,32.01263976109693,9.601179480916043,31.55965237306651
2017-02-16,7.7335764241053475,16.106335716527095,7.7335764241053475,17.434117206812218,7.756166066954031,18.47613275281776,8.06778921996159,19.978965004745497,7.533515842557945,14.947394138069974,7.533515842557945,16.22857927833516,7.556610086907115,17.25230282967203,7.8758644880436846,18.76522360956265,7.410203745442805,16.469215701524217,7.410203745442805,17.744562166441828,7.455794093253218,18.742851635151787,7.847885240340517,20.17974417446504,8.547510716115907,22.212043344975765,8.547510716115907,23.126077128838514,8.57252469339453,23.783379595439396,8.896814228353268,24.6297993701719,9.206520357008124,32.535798372207005,9.206520357008124,32.44554203537188,9.235063442814846,32.2622262230838,9.65417876781893,31.805707120069957
2017-02-17,7.688820929957317,15.97368878187498,7.688820929957317,17.290535063328374,7.711242971654384,18.323968882833853,8.020745580261474,19.814424260528796,7.507357216402411,14.947394138069974,7.507357216402411,16.215213908750687,7.530349717120341,17.226727570175505,7.848309777239957,18.718860188974393,7.384473295867278,16.469215701524217,7.384473295867278,17.72994827896581,7.429884074383498,18.71506674759177,7.820428418483474,20.129885884151495,8.517831195682673,22.212043344975765,8.517831195682673,23.10703118756634,8.542733865779269,23.748122498988973,8.865687595396476,24.568946285180054,9.1532406911245,32.267843326659055,9.1532406911245,32.17833031385646,9.181574691857405,31.996524235439654,9.59788481972841,31.543764886394104
2017-02-20,7.787082090414052,16.26419929756822,7.787082090414052,17.604994818144625,7.80987163062037,18.65722350688407,8.12402583012653,20.174785520141064,7.564922476831831,14.947394138069974,7.564922476831831,16.244704217589387,7.588138711465967,17.283121444134256,7.908945690949015,18.820991120676137,7.4410963012948,16.469215701524217,7.4410963012948,17.76219340711418,7.486902080836377,18.77633288830212,7.880848921268187,20.239715434649934,8.5831446151643,22.212043344975765,8.5831446151643,23.149055516687216,8.608292042704747,23.82586498498983,8.934183753583923,24.702995546176915,9.27021676072516,32.854692609447945,9.27021676072516,32.763551640080934,9.299009248437024,32.578439088230326,9.721473323121042,32.117445488864
2017-02-21,7.848489674830729,16.446720972097324,7.848489674830729,17.802563298184367,7.8715095193949205,18.866600409751303,8.188576232447963,20.401192954594496,7.600715880076432,14.947394138069974,7.600715880076432,16.262934507084594,7.624071454437266,17.318033581995113,7.94665056562304,18.884355546175218,7.476303821439235,16.469215701524217,7.476303821439235,17.782126668043052,7.522355429589145,18.8142613333713,7.918419848230222,20.30785626382086,8.623755732761103,22.212043344975765,8.623755732761103,23.175034074250174,8.649055602406811,23.873993552835568,8.976776317992236,24.786162851812072,9.34332008899184,33.223397726834946,9.34332008899184,33.13123394644339,9.37239986545068,32.94404400656266,9.798716432299434,32.47787700012206
2017-02-22,7.875225314708523,16.52645033836605,7.875225314708523,17.888865430514038,7.8983456016804805,18.958060713411026,8.216681859877056,20.50009255823922,7.616250843693814,14.947394138069974,7.616250843693814,16.270818348879683,7.639666954263429,17.333145168801625,7.963015725604448,18.91181945893894,7.491584501534514,16.469215701524217,7.491584501534514,17.79074697413664,7.537742863127194,18.830678517342765,7.934726870483954,20.33739040341509,8.64138166874758,22.212043344975765,8.64138166874758,23.186268719643202,8.666747769374279,23.894825821365572,8.995262896626606,24.82220988622874,9.375147822926857,33.38445599799722,9.375147822926857,33.29184543190193,9.404352884548564,33.1037480445547,9.83234853945846,32.63532118339521
2017-02-23,7.880829122078801,16.54318566869756,7.880829122078801,17.906980395682368,7.9039704775302555,18.977258387562944,8.222572969156186,20.520851754180544,7.619502560380477,14.947394138069974,7.619502560380477,16.272465995617228,7.642931347617568,17.336304568596866,7.966441268661678,18.91756471347337,7.494782992607501,16.469215701524217,7.494782992607501,17.792548534794616,7.540963704801958,18.834110880094737,7.938140244195474,20.343568734626817,8.645071059439243,22.212043344975765,8.645071059439243,23.188616651947076,8.670451029475762,23.899181251789315,8.999132493450887,24.82975066855342,9.381818936497341,33.4182624045531,9.381818936497341,33.325558057374515,9.411050276646955,33.13727019525216,9.83939803227128,32.66836898672241
2017-02-24,7.887470900852478,16.563026786476875,7.887470900852478,17.92845718462846,7.910637231109817,19.000018817527085,8.22955530329554,20.545463497332104,7.623355483690011,14.947394138069974,7.623355483690011,16.27441763855254,7.646799292726795,17.34004719109924,7.970500170057726,18.924371364328195,7.498572849473259,16.469215701524217,7.498572849473259,17.794682489270752,7.544780045987587,18.838176854300094,7.942184726221084,20.350888470100966,8.649442577859709,22.212043344975765,8.649442577859709,23.19139778542006,8.67483898314549,23.904340691229677,9.00371755097018,24.838684558627165,9.389725714439821,33.45834269462706,9.389725714439821,33.36552716222044,9.418988205223187,33.17701347650379,9.847753320214498,32.70754988994773
2017-02-27,7.817104521660745,16.35274501126024,7.817104521660745,17.700840103989723,7.840006207278483,18.758797346499755,8.155580435221774,20.284621285786873,7.582549405588038,14.947394138069974,7.582549405588038,16.253755875000685,7.6058341026442084,17.300420782744997,7.927512425750874,18.852293045733695,7.458434704268882,16.469215701524217,7.458434704268882,17.772090619611305,7.504361390170485,18.795126839473077,7.8993496971809805,20.273376895497538,8.603144090254638,22.212043344975765,8.603144090254638,23.161954324638756,8.628366411514325,23.849713206354327,8.955157297581538,24.74408006241337,9.305957291274263,33.033560449912166,9.305957291274263,32.94192328998381,9.334889698244018,32.755802946558774,9.759232589040344,32.29229960130723
