ym,market_cap_log,circ_mv,float_ratio,mv_volatility_60d,avg_amount_20d,turnover_rate,amihud_illiquidity,amount_cv,zero_volume_ratio,log_amount_60d,turnover_rate_60d,amihud_60d,amount_cv_60d,turnover_std_20d,amount_ratio_10_60,volume_slope_20d,turnover_chg_20_60,vp_corr,volume_surge,up_down_volume_ratio,obv_factor,vr,mfi,tail_volume_ratio,vp_corr_60d,obv_slope_60d,vol_surge_5d,vwap_slope_20d,volatility_20d,volatility_60d,idiosyncratic_vol,volatility_120d,downside_vol_20d,return_skew_60d,return_kurt_60d,atr_ratio_20d,gk_vol_20d,vol_ratio_20_60,max_drawdown_20d,max_drawdown_60d,max_drawdown_120d,max_drawdown_250d,dd_current,dd_area_120d,dd_duration_120d,return_5d,return_10d,return_20d,return_60d,return_120d,return_250d,mom_3_1,mom_6_1,mom_12_1,mom_accel,price_52w_pos,rsi_14,macd_hist_norm,boll_pos_20,ma5_ma20_ratio,ma20_ma60_ratio,roe,roa,roe_ttm,roa_ttm,net_profit_margin,gross_profit_margin,revenue_growth_yoy,profit_growth_yoy,debt_to_asset,ocf_to_asset,div_yield_ttm
2010-02,-0.24366816441112776,-0.24566553685744746,-0.03565273607731298,-0.02275328385847462,-0.28098514321135615,0.014935781145056039,0.24928623933487631,-0.09118391488108508,,-0.23300151741234573,0.09745816074072156,0.22905736566130377,0.03149683163040092,-0.012416368713352836,-0.1485200466064479,0.001236881712937564,-0.23046083557260794,-0.0801918351317995,0.02214575011574682,-0.024088063620232747,-0.06335867513091628,-0.02569765545917785,0.05288802182615815,,-0.03774715262343621,-0.01647222775574519,0.05695135390380589,-0.1957495563325843,-0.06717699503918502,-0.015781587597698873,-0.03650809592262582,0.032845388460312125,0.06569053668527734,-0.14102192161274035,-0.007175849116555497,-0.10747690424528628,-0.11476590772836193,-0.12166889024504866,0.04985928666950877,0.1686497272621792,0.17032377703208232,0.1408042454575393,0.1408042454575393,0.0947323389569445,0.07947158689110545,-0.038405270817041544,0.022355622666412597,-0.16266241940830073,-0.12394386708128319,-0.05947651164244234,-0.0013626180338529505,-0.0771934870370651,-0.01337939887906711,0.04259385425656848,0.02554751783759642,-0.1408042454575393,0.07807362205586303,0.09649556344519118,-0.008689872340881293,-0.06440015233926619,-0.1747760839260848,0.03433576302418152,-0.11922098442159382,-0.10050553734425652,-0.10791382288753468,-0.07594937033320506,,-0.12963309189092428,-0.03280672356300552,0.029666347876109115,-0.08625179707782661,-0.043151681648779354
2010-03,-0.08723952807103032,-0.05621609242208691,0.010013280007157758,-0.07741983157076318,-0.1670976827259315,-0.18624249974180057,0.11648396362539239,-0.028403002196295764,,-0.1057740143095844,-0.1433642605826592,0.06651402238746468,-0.07427311937176592,-0.17593701612622417,-0.07198504289917593,0.04483806728301863,-0.07856247680614492,-0.12916534821180894,0.13020527211127383,-0.06038068738112471,-0.10010437979597828,-0.01607995467276814,0.021753266989131742,,-0.12640626002518943,-0.10147527444733223,0.06191309957318849,-0.12371105692702017,-0.11794471771097734,-0.12055059081882198,-0.09410534152874635,-0.10124938270537544,-0.06632551390782543,-0.0792884421726939,-0.08857920247880564,-0.12637308790308371,-0.12079036698261056,-0.036926900559668296,-0.07660826589548844,-0.04824105901433736,-0.14289439199974321,-0.14731138803537253,-0.14731138803537253,-0.19516415120809516,-0.14045876787539383,0.04777674498596871,0.03521577077634792,-0.0670894791299938,0.029586693435505067,0.07670250510874298,0.017252116814933778,0.08677431890588125,0.1006419961801438,0.02954014389839152,0.08101858303051569,0.1473067404422143,0.03324098905463794,0.017631266215928525,0.05523661383392664,-0.023488744927139156,-0.06981240411734685,-0.029038304714397153,0.09505750404495314,0.05044146410891588,0.07387376297380621,-0.03177864149901975,,0.03696302618751338,0.009478188052863577,-0.07390776883513568,0.05995895277056169,0.07067176426936694
2010-04,-0.13555333587308993,-0.1080338136703325,0.044737467066645456,0.21640413140323744,0.009408646771816867,0.0723571482454246,0.020229567898023777,-0.0577395413037457,,-0.00665483179915651,0.07503220272095588,0.04022094510047963,0.01073373467186923,0.04216953452253162,0.08558225419362292,0.09839125531786312,0.01609354466038447,-0.01966779470338617,0.08865907016156334,0.08774891404926476,0.07093173977543195,0.07524966951156296,0.07096324589580245,,-0.09030215604428198,0.13648651900338102,0.027367781291917935,0.22644790791184305,0.1167556825503109,0.10932987015112024,0.19847056131360102,0.10332942611775242,-0.04346939087340589,0.12269637337591657,-0.10776967357170912,0.18165905612492073,0.25934103715719525,0.05102431664199128,-0.07844334176176614,-0.08157060769871652,-0.1781925058212943,-0.2083011559566525,-0.2083011559566525,-0.22899290849997067,-0.31777149109774055,-0.08738240972225965,0.1568739359116225,0.156949741077927,0.23990331740579282,0.268155564191698,0.23834446766648226,0.15339872022631246,0.21726266195328,0.16053323329338276,0.1904489256497396,0.2085796934949537,0.14458853864769886,0.04068882444841713,0.07956306547130046,0.17746542088143125,0.23858918263009823,0.09581921505761751,0.1574669375191943,0.14545718747741324,0.18714361574471383,0.08759534532740144,,0.1479757409685464,0.02466136942497012,-0.14667308298725348,0.03540780363208209,0.06837024815551675
2010-05,-0.034260471514363365,-0.06173827826048505,-0.058195192058468695,0.007135470400709149,-0.12239489760609644,-0.1226306033568219,0.09350982041609393,-0.04139784002129803,,-0.0915416971769575,-0.08620109803241542,0.06945634012881326,-0.05281743656923025,-0.12287675775888873,-0.1281892228912015,-0.07932656247671417,-0.0693551167278354,-0.02242446292020609,-0.19041541709231774,-0.032616999297402825,-0.03210148067121803,-0.05115950975789987,-0.06254007868630017,,-0.12972081922957013,-0.0831518316425291,-0.11360152991558078,-0.07957165016771924,-0.12954224549990137,-0.13170072549292602,-0.14577725328307906,-0.1042283988586773,-0.07936154941867994,-0.0484092964046169,-0.0014906893468201127,-0.13683162328853343,-0.15176197665220573,-0.027088737730049273,0.03377967773184795,0.10253373678802888,0.11978165173247275,0.11927164472704403,0.11927164472704403,0.08736638539854497,0.07684924318028638,-0.14301168593454477,-0.050371170260159984,-0.07903530387970968,-0.13316518463199634,-0.1369626228692391,-0.11707913782460487,-0.15444782205020133,-0.11857091400485337,-0.11255854308394067,-0.024355914776792307,-0.11918032871981667,-0.07351585642961621,0.029221264367406366,-0.1430594015650185,-0.0319703598389862,-0.11782791786645744,0.07164679873195855,0.059312113453137645,0.12230432569870692,0.08522241083828681,0.10301385771483393,,0.07416088081382217,0.01374292920728961,0.007336145069317923,0.02216423499976311,0.09122972836135838
2010-06,-0.03755122805725615,-0.028113489255235217,0.0025459802067126416,0.23645785087002574,-0.09373358840733567,-0.0007777547366836083,0.11503455925374481,-0.056660917374976444,,-0.04575172967455232,0.02239566136254181,0.07655370634829325,0.041318934760669696,-0.02372054502272798,-0.12464108555660834,-0.06972612355559069,-0.09906024387769795,0.043746152131185406,-0.07043186145657676,-0.09192014041181756,-0.0874170254776855,-0.06383062857737286,0.050123847446219776,,-0.012338668181613183,-0.16073932739742566,-0.04178361576016025,-0.17485874507553403,0.09489760380472441,0.11855293430290818,-0.07862577761188587,0.12946652017907245,0.133466807746024,-0.10389247140546477,0.08787166479107639,0.0219905530319547,-0.07246224975265414,-0.027195463160953084,0.15574388168229183,0.40898721932510923,0.404190298361845,0.3731619227103478,0.3731619227103478,0.26074277492384645,0.14129888093687756,-0.33448416717615187,-0.09325997000250252,-0.2080887966775171,-0.4046699543288209,-0.317423800027551,-0.21606475573206588,-0.28515268385983583,-0.2431177663923444,-0.15653426565636344,-0.09727771084957355,-0.3731616104360953,-0.0559674174106657,0.043015274272717896,-0.2757056107815808,-0.021856127766185805,-0.34260544433752493,-0.030695266701369392,-0.1007524010120842,-0.12017786343187103,-0.1340104806169049,-0.07191346112292603,,-0.07955412981905428,0.016968969697898934,0.09418387834352895,-0.03561909542106331,-0.09624513849582912
2010-07,-0.2298033255351237,-0.2133408764525361,0.0039615903051045615,0.15197137444677783,-0.16635951140091876,0.09284813260419691,0.17603459222574966,-0.029772112688562204,,-0.10951542363019391,0.14398607206767194,0.13509283681658066,0.018962876030515028,0.06091125220447791,-0.15522558580505472,-0.11572761729254556,-0.13181563337331256,-0.12466919671247428,-0.03909530197176166,-0.015456012946074888,-0.0684614872259255,-0.09929702445606207,0.04006230067334072,,-0.19668144142745816,-0.04234690862540051,-0.009566696775141338,-0.17717061809544404,0.04449557166757105,0.09655942048272402,0.21346566108879897,0.11434811409278803,0.017534911562861653,-0.07958163252939243,-0.0968814464417791,0.07109836373489774,0.07149447526021685,-0.041857069070289916,0.07326127036431586,0.1730506117071824,-0.07699882594086241,-0.23278373278580697,-0.23278373278580697,-0.2764009722919413,-0.2322740434844912,0.018125413841161838,0.05949825583017004,0.10447021323606667,-0.07617805770747942,0.1985168160846122,0.2877323362319344,-0.11950769666148685,0.17304672780592734,0.2797576634702375,0.3152088217085812,0.23281100603899987,0.08682611189314622,0.1359635499302766,-0.0830427205273673,0.14209546239620818,-0.16853060970764758,-0.05455672385349675,-0.005993517274094707,-0.10491302680916398,-0.026414607133982075,-0.142856920191412,,-0.024361048823177366,-0.026657493457263343,-0.0917308050384521,0.03989440505199143,-0.08890106364198626
2010-08,0.06901679005751923,0.08685701397099735,0.03010866534205648,0.04397419616698059,-0.021472355115688773,-0.17418217995960897,0.005818250734340669,-0.03952920433160521,,-0.04114729864958933,-0.18363076322339064,0.011159298818671271,-0.042670755712841395,-0.1761987773473523,0.06749390946320127,0.00804990135326845,-0.002417331258069677,0.013273400320887523,0.0760197444413458,0.10271485670071044,-0.03606770671676531,0.11711368427427454,0.07087296549554387,,-0.11263884817999766,-0.13124554009925496,0.05127264996605659,0.11492689739842435,-0.02499905689708029,-0.09439128944981737,-0.0894010188334832,-0.14244010818497002,-0.13239954105001953,-0.07478072260183663,-0.03541145194158422,-0.0556892764755317,-0.019573338753149427,0.0718764733635813,-0.17391467741139424,-0.1708620257106221,-0.13032006895887852,-0.13074161836548615,-0.13074161836548615,-0.12502554501968022,-0.025047933484418736,0.12661989540595014,0.11510450992424343,0.13964682898928327,0.006951177838287534,0.08259859909484925,0.08049485016094238,-0.07849034159983144,0.024570536096271085,0.06863857546234416,0.09632847129591686,0.1312962548177936,0.13654272595409583,0.10749276980864371,0.14878133003993194,0.11080643418286197,0.08404340030349029,0.015757236581327275,-0.05418638309032184,-0.08553671624533428,-0.08758652488357074,-0.12353418256300154,,0.05863534207202128,0.09240122922095534,0.08074772376168325,0.10506504911613809,-0.08509061248853379
2010-09,0.11385203075237649,0.12356850006296351,0.017716536615522464,0.020552876677991123,0.25166758264499106,0.07586381216072188,-0.22388610774478304,0.013431315500977894,,0.27322467528286076,0.08954069087396231,-0.2345686062750149,-0.08076773221673597,0.0734388837529094,-0.0787273793172004,-0.0625387989693276,-0.016385213968195093,0.025774712403061777,0.021598421317276052,-0.08286809749830856,-0.03105787480017951,-0.12501528792432348,-0.14216208276519227,,0.07835232211886373,0.03277827092243809,-0.06297293904580266,-0.11035559580942617,0.06424469039701748,0.14026248520306428,-0.02765647169081198,0.12127752472636771,0.11780612377595391,-0.010918583019602704,-0.061905385608136604,0.03516893915860042,-0.029020131478880763,-0.03688232516271177,0.1309453624710727,0.13183379675192586,0.1490369684810019,0.17859241875829504,0.17859241875829504,0.1686169920200828,0.11778828565021052,0.0015692882485241865,-0.10741882755446153,-0.09695113332536036,-0.05245496652646406,-0.13729568786161095,-0.19328015178190236,-0.006174620405426479,-0.11220659152131703,-0.1975411994807563,-0.11114878012535775,-0.17849746077770148,-0.15540743581533165,-0.10835972291758,-0.10290118989562781,-0.17552909681797224,-0.10019815455472574,0.11135629200601667,0.060315134502860225,0.07191567692819065,0.041481226889164634,0.10522138120682366,,0.15022966554572395,0.1061927092103886,0.0006943212880217249,0.011768539395264089,0.07407622651840032
2010-10,-0.34284144758950685,-0.32764727640033425,0.05820297558431758,-0.10332901861018078,-0.35315177508286133,-0.08038761381540872,0.31319609661604164,-0.11787894449115134,,-0.3218733573374578,0.02765725779455054,0.2921595989467541,-0.20514038276646857,-0.10198494819913433,-0.26126483529652345,-0.06398602879428203,-0.26101976166504,-0.2291146000425934,0.1312925689117849,-0.21384077711315655,-0.19297454863274308,-0.23872307539295204,-0.18612800518184616,,-0.21987431885857323,-0.044763909969509304,0.12454522099061523,-0.3424802024404435,-0.17249828414586,-0.10474900146330232,0.026227209977919115,-0.06941368082147618,-0.009268473445529243,-0.14463467783457806,-0.06143655864815101,-0.19673846087068725,-0.17137836797060696,-0.186160637061597,-0.13171392091478362,-0.028030102183723517,0.007259391384474327,-0.11549772655633886,-0.11549772655633886,-0.17717220691001098,-0.03766759243493339,0.09611447794940749,0.17841265485764232,-0.27289397394972226,-0.0822050441326485,-0.06802081868946516,0.17012768409290102,0.13115444116524688,0.1629913426532656,0.2592061996038683,0.04602923022624599,0.11561687355947481,-0.15536347660073765,0.03065053435396594,0.047857996920846295,-0.2027449839380182,-0.17933550042534638,0.007496564026399038,0.1531422055130452,0.0744222118929545,0.15217772270395977,0.06546288789144165,,-0.08651996940674545,0.00243523129383242,-0.22799140387094086,0.006157200073920239,0.043426085565308845
2010-11,-0.013787672549730928,-0.05071615219502996,-0.09556180727021055,0.0660481696256426,-0.038315500943675196,-0.06018826415590182,0.015615530264613164,-0.0666330098423006,,-0.02216870349647377,-0.031427091682128684,0.027886681801417686,0.022564270160912704,-0.08846009707694452,-0.09115776947754527,-0.07206607904887752,-0.07453316877085224,-0.13210070178142597,-0.08525665244840207,-0.13374721106425944,-0.13222252256552208,-0.09257135983205887,-0.15256012864171625,,-0.06641554776008157,0.08028422337340893,-0.09768342144249931,-0.07467549775173854,-0.0999411829048991,-0.04491563306548365,-0.11513542621689263,-0.05416824378469415,-0.032277711872400645,-0.017637933225917012,0.0029281976775144044,-0.03592222309931256,-0.06159871750683391,-0.1118575302126121,0.12350539875318613,0.11879641040096835,0.1137465173264016,0.05448204929357109,0.05448204929357109,0.022797689919173057,-0.02823009430268635,-0.025128053165522114,-0.04354379395534031,-0.16606357440769326,0.018033724225826088,0.022069514452062244,-0.06420548428455303,0.09040670767383757,0.08528687578970032,-0.025694610851556103,0.009015722642279924,-0.05445657285827432,-0.1511813865856078,-0.1551017559222578,-0.11587968685744388,-0.1469498441623523,0.06472788144947245,0.09316661209620339,0.03721318119570328,0.06438243814118279,0.027565276356522575,0.037270277340012155,,0.12373352409875928,0.08390306215640773,0.08437497727026474,-0.0030450412406651446,0.05415717067414715
2010-12,0.19622043022394905,0.17849729115103136,-0.06152472658466985,-0.19399322982797082,-0.08055998724746886,-0.27676559601934003,0.006872472634716578,-0.04416347892125251,,-0.02119751195287743,-0.28407679244107664,-0.035397967360162076,0.13961845903404257,-0.23802170394878006,-0.11689494436303376,-0.129997170502126,0.14899712988142924,-0.05017625456372797,-0.09533517787332088,-0.12911270912485415,-0.12532990024626356,-0.09669931199528757,-0.10299314039239693,,-0.03758287375107618,-0.27893336337162195,-0.016181845246038218,-0.18247701490993332,-0.25416708234189983,-0.3260795042963684,-0.39772268264830524,-0.32156260817637017,-0.14992198901460085,-0.18706120688535477,0.1878677997279949,-0.2715870828749147,-0.2957142389237109,-0.007321522906604008,0.04881997110804953,0.2212391086667571,0.22702576760439197,0.30584947452379657,0.30584947452379657,0.16259341206566957,0.278496971300223,-0.2684320866028065,-0.05520857832238367,-0.14176951477709676,-0.29280332201491005,-0.3198218810521044,-0.3499586569182033,-0.2877142769376653,-0.2626515282677433,-0.3405048923494083,-0.10224364211019553,-0.30732408887135676,-0.17449801344261623,0.0935212535286968,-0.2570725886275624,-0.03552347862735038,-0.3204751116936494,-0.04655480192879526,-0.23333315853401976,-0.16293095431085794,-0.2442257858424914,-0.10593995880126351,,-0.05974703750490282,0.03936461548715929,0.28041124446766974,0.06532342702619799,-0.053068554191750064
2011-01,-0.028959328045568156,-0.023559489594337762,-0.043313644747099006,0.17522114133063502,0.00978414452250546,0.1190698374391147,0.04231814529295554,-0.031011722184426042,,0.05958177120771692,0.16553191115171537,0.022453705552199547,0.07235452982859907,0.07567443448071978,-0.1545088551235499,-0.13808518724264263,-0.17518237730587038,-0.07463139062849598,-0.0470228620362138,-0.053085144070774505,-0.06538210779902477,-0.06144169936322143,-0.1090747908080635,,-0.024403160989072584,0.0031778276084896808,-0.08033095492154002,-0.14077121817556063,0.1836132897007017,0.26683489997201515,0.17485262928564657,0.3215701213649812,0.25951719719960686,-0.0836528074157335,-0.04081033320539625,0.1702850715341755,0.10862251630723492,-0.08342626748012301,0.22361176832062868,0.249229597095164,0.22557849511004271,0.07488196345484252,0.07488196345484252,0.02515777337154325,-0.1472013035301002,-0.007085472884849905,-0.10811166201638742,-0.16640760715459169,-0.16874062853056349,0.170927951098721,0.11711445817283772,-0.05287693999226709,0.23284390929837992,0.17052466655560786,0.3000447721490639,-0.07326316296179058,-0.1461543289691575,-0.12837979850042738,-0.13451361483633412,-0.23507939068500147,-0.13125047699177142,-0.1374417343881772,-0.1720067006706025,-0.22705988047862202,-0.18233561515761595,-0.1674182122843267,,0.003063642394733244,0.01790467268865733,0.029860611685043642,-0.02047481241775177,-0.12509106927963706
2011-02,0.10486089436239726,0.08261358529743856,-0.10441334016985758,-0.2405442247412613,-0.15936586903351976,-0.18734732618553512,0.09946413377446622,-0.004913847605336819,,-0.15045800308058987,-0.15620884251461314,0.11020809602616582,0.05962784152092757,-0.16105568894306319,-0.06060428276866527,0.2609843859933611,-0.07814446056488433,-0.0037833369655539658,0.04256240472029347,0.08989891173413136,-0.2510833136666883,0.10412637652046737,0.09279500012591801,,0.12967001462306318,-7.889071447200463e-05,-0.011885414238765614,-0.019038678479501227,-0.25452622084301285,-0.22643380876825592,-0.23614472793653615,-0.22960710956422586,-0.14486523062115206,-0.0893763768720329,0.005608020288172261,-0.2686162649036706,-0.2550818026998156,-0.1317546097208664,-0.1585492805123337,-0.13711061402240862,-0.0033639756761663082,0.1264198194773717,0.1264198194773717,0.1556442438805728,0.23980526991347487,0.05806176425555407,0.0034431966355531916,-0.11490963144936021,0.05076367855033289,-0.16440464525096218,-0.2783991978499286,0.09559405112453405,-0.12020701413651702,-0.2535244281855646,-0.18790897636430542,-0.12733523922485973,0.05813658488443976,-0.03555894942193485,0.10045645336574915,-0.06857924753172565,0.07053387393105848,-0.18545063459267094,-0.3444655084965987,-0.2828275404421778,-0.3441525118870893,-0.21280597685765631,,0.011545256584268242,-0.052490264495683406,0.28533364639165515,0.01665297230942287,-0.09922001397919271
