variant,code,buy_date,sell_date,days,ret,ann_ret,exit_action,status,group,buy_price,sell_price,mv_pct,dy_pct,roe,roa,vol20_pct,turnover20_pct,amount20_pct,amt_cv60_pct,ret120,ret120_pct,dist250h,is_delisted_code,st_snapshot
full,000848,2017-05-02,2017-06-01,30.0,-0.064885,-0.557899,SELL_REBAL,CLOSED,normal,6.658646,6.226597,0.699537,0.199452,0.222918,0.192089,0.192164,0.306,0.641121,0.834297,-0.2,0.470825,-0.212598,0,0
full,000848,2020-08-03,2020-10-09,67.0,-0.123821,-0.513301,SELL_REBAL,CLOSED,normal,6.999901,6.133168,0.704487,0.8745,0.214351,0.180805,0.172185,0.339434,0.528146,0.365,0.356728,0.759259,-0.066007,0,0
full,000848,2024-05-06,2024-08-01,87.0,-0.131526,-0.446572,SELL_REBAL,CLOSED,normal,8.259651,7.173294,0.749397,0.942041,0.222616,0.183213,0.163833,0.244204,0.50541,0.681388,0.116025,0.840804,-0.048062,0,0
full,000848,2024-10-08,2025-06-03,238.0,0.210345,0.340141,SELL_REBAL,CLOSED,normal,7.960161,9.634539,0.709918,0.946472,0.211917,0.177014,0.100464,0.372488,0.527048,0.56124,-0.036259,0.264297,-0.051334,0,0
full,000848,2025-07-01,2026-08-14,409.0,-0.06318,-0.056579,SELL_FORCED_DELIST,CLOSED,normal,8.881108,8.32,0.67199,0.927284,0.195935,0.155357,0.219474,0.306028,0.42813,0.325984,0.0596,0.411128,-0.184923,0,0
full,000899,2016-07-01,2016-11-01,123.0,0.118824,0.395401,SELL_REBAL,CLOSED,normal,6.988819,7.819255,0.455568,0.963841,0.239197,0.152727,0.263485,0.181818,0.143451,0.497872,0.159854,0.449367,-0.289459,0,0
full,000912,2006-05-08,2006-07-03,56.0,0.113636,1.016819,SELL_REBAL,CLOSED,normal,6.142132,6.840101,0.945559,0.882459,0.253416,0.132511,0.208696,0.71831,0.878261,0.069565,0.206189,0.382609,-0.028533,0,0
full,000933,2006-02-06,2006-06-01,115.0,0.239186,0.975181,SELL_REBAL,CLOSED,normal,1.661643,2.059085,0.794007,1.0,0.362802,0.209627,0.921739,0.977778,0.991304,0.736842,0.108778,0.756522,-0.135347,0,0
full,000933,2006-07-03,2006-09-01,60.0,-0.195,-0.732746,SELL_REBAL,CLOSED,normal,2.15962,1.738494,0.65824,0.999113,0.270823,0.128641,0.37931,0.855769,0.896552,0.826087,0.052748,0.278261,-0.19,0,0
full,000937,2006-05-08,2006-11-01,177.0,-0.099327,-0.194044,SELL_REBAL,CLOSED,normal,0.929426,0.837109,0.589303,0.985986,0.185178,0.13181,0.356522,0.915493,0.93913,0.426087,0.405461,0.626087,-0.139403,0,0
full,000937,2007-02-01,2007-03-01,28.0,0.278832,23.682589,SELL_REBAL,CLOSED,normal,1.071813,1.370668,0.448214,0.982188,0.152642,0.108208,0.58156,0.757812,0.914894,0.384,0.671206,0.528455,-0.005787,0,0
full,000983,2006-06-01,2006-07-03,32.0,-0.072727,-0.57737,SELL_REBAL,CLOSED,normal,1.576194,1.461562,0.8338,0.979646,0.235629,0.122056,0.269565,0.515789,0.982609,0.330435,0.474465,0.66087,-0.09019,0,0
full,000987,2007-03-01,2007-04-02,32.0,0.171319,5.071899,SELL_REBAL,CLOSED,normal,3.330099,3.900607,0.399473,0.847245,0.173115,0.101117,0.390411,0.051852,0.40411,0.641791,1.063866,0.723577,-0.031164,0,0
full,001207,2024-09-02,2024-10-08,36.0,0.274659,10.710535,SELL_REBAL,CLOSED,normal,8.971771,11.435945,0.253374,0.943542,0.150754,0.107955,0.153014,0.321981,0.160991,0.493023,0.055974,0.553323,-0.097166,0,0
