date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out
2011-10-10,2,2,601208|600160,600160|601208,,
2011-11-01,20,20,002493|002252|002293|000848|600160|002533|002236|002001|002408|002458|000708|601233|000338|600660|300235|600503|000685|300003|002158|002153,000338|000685|000708|000848|002001|002153|002158|002236|002252|002293|002408|002458|002493|002533|300003|300235|600160|600503|600660|601233,,601208
2011-12-01,20,20,002493|002252|002293|600160|000848|002533|002408|002236|002001|000708|002458|601233|600395|600660|000338|300235|600503|601101|000685|000789,000338|000685|000708|000789|000848|002001|002236|002252|002293|002408|002458|002493|002533|300235|600160|600395|600503|600660|601101|601233,,300003|002158|002153
2012-01-04,20,20,002493|002252|000848|600160|002533|002408|002001|002458|000708|601233|600503|002236|600395|600660|000338|600216|601101|300235|000789|600252,000338|000708|000789|000848|002001|002236|002252|002408|002458|002493|002533|300235|600160|600216|600252|600395|600503|600660|601101|601233,,002293|000685
2012-02-01,20,20,002493|002252|000848|002293|002533|600160|002236|002001|002458|002408|000708|002038|601233|300235|600503|600395|000338|600216|600660|600252,000338|000708|000848|002001|002038|002236|002252|002293|002408|002458|002493|002533|300235|600160|600216|600252|600395|600503|600660|601233,,601101|000789
2012-03-01,20,20,002493|002252|002293|000848|002533|600160|002236|002408|002001|000708|002458|601233|002038|600503|000338|300235|600660|600216|000685|600252,000338|000685|000708|000848|002001|002038|002236|002252|002293|002408|002458|002493|002533|300235|600160|600216|600252|600503|600660|601233,,600395
2012-04-05,20,20,002493|002653|002252|002293|000848|002533|000703|002408|002001|002614|002236|601233|000708|002458|002038|600503|000338|300235|600216|601101,000338|000703|000708|000848|002001|002038|002236|002252|002293|002408|002458|002493|002533|002614|002653|300235|600216|600503|601101|601233,,600160|600660|600252|000685
2012-05-02,0,0,,,,002493|002252|002293|000848|002533|002408|002001|002236|601233|000708|002458|002038|600503|000338|300235|600216|002653|000703|002614|601101
2012-06-01,0,0,,,,
2012-07-02,0,0,,,,
2012-08-01,2,2,601388|603366,601388|603366,,
2012-09-03,1,1,601515,601515,,601388|603366
2012-10-08,3,3,300326|601515|300333,300326|300333|601515,,
2012-11-01,20,20,002252|300346|601515|000848|002653|600403|300298|002022|601633|002236|002415|000550|600252|300026|600395|600216|300058|600123|002242|600366,000550|000848|002022|002236|002242|002252|002415|002653|300026|300058|300298|300346|600123|600216|600252|600366|600395|600403|601515|601633,,300326|300333
2012-12-03,20,20,002252|300346|601515|000848|002653|600403|300298|002022|000895|002236|601633|002415|600252|000550|300026|600395|300058|600216|300295|600123,000550|000848|000895|002022|002236|002252|002415|002653|300026|300058|300295|300298|300346|600123|600216|600252|600395|600403|601515|601633,,002242|600366
2013-01-04,20,20,002252|300346|601515|000848|002653|600403|300298|300026|002236|601633|300058|002415|002022|600252|000895|600216|000550|002242|600329|600123,000550|000848|000895|002022|002236|002242|002252|002415|002653|300026|300058|300298|300346|600123|600216|600252|600329|600403|601515|601633,,600395|300295
2013-02-01,17,17,300346|002252|601515|000848|600403|300298|002236|002415|601633|600252|600395|300026|600216|300058|600329|002242|601088,000848|002236|002242|002252|002415|300026|300058|300298|300346|600216|600252|600329|600395|600403|601088|601515|601633,,002653|002022|000895|000550|600123
2013-03-01,17,17,300346|002252|601515|000848|600403|300298|002236|002415|601633|600252|000550|600395|300026|600216|300058|002242|601088,000550|000848|002236|002242|002252|002415|300026|300058|300298|300346|600216|600252|600395|600403|601088|601515|601633,,600329
2013-04-01,15,15,300346|601515|000848|300343|600403|600395|000550|002415|601633|600252|600123|300026|002242|600366|601088,000550|000848|002242|002415|300026|300343|300346|600123|600252|600366|600395|600403|601088|601515|601633,,002252|300298|002236|600216|300058
2013-05-02,2,2,000848|300293,000848|300293,,300346|601515|600403|600395|000550|002415|601633|600252|300026|002242|601088|300343|600123|600366
2013-06-03,4,4,300352|300355|000848|002016,000848|002016|300352|300355,,300293
2013-07-01,5,5,300352|300355|000848|300293|002016,000848|002016|300293|300352|300355,,
2013-08-01,4,4,300352|300353|000848|002016,000848|002016|300352|300353,,300355|300293
2013-09-02,4,4,000848|600816|002016|600067,000848|002016|600067|600816,,300352|300353
2013-10-08,4,4,600816|000848|002016|600067,000848|002016|600067|600816,,
2013-11-01,16,16,601515|300039|000848|600809|600816|002016|002410|600201|600252|600658|600067|300026|002275|300005|000690|002415,000690|000848|002016|002275|002410|002415|300005|300026|300039|600067|600201|600252|600658|600809|600816|601515,,
2013-12-02,14,14,601515|000848|300039|002016|600816|002410|600067|600201|600252|600658|300026|002275|000690|002415,000690|000848|002016|002275|002410|002415|300026|300039|600067|600201|600252|600658|600816|601515,,600809|300005
2014-01-02,11,11,601515|000848|300039|002016|600816|600067|600252|600201|600658|000690|002415,000690|000848|002016|002415|300039|600067|600201|600252|600658|600816|601515,,002410|300026|002275
2014-02-07,13,13,601515|000848|600809|601633|300039|002016|600067|600252|600658|002275|600201|000690|002415,000690|000848|002016|002275|002415|300039|600067|600201|600252|600658|600809|601515|601633,,600816
