date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out
2010-08-02,20,20,300059|300043|300066|300071|300026|300017|300058|300012|300054|300009|300045|300006|300014|300035|300008|002410|300015|300044|300051|300016,002410|300006|300008|300009|300012|300014|300015|300016|300017|300026|300035|300043|300044|300045|300051|300054|300058|300059|300066|300071,,300013|300005|300041
2010-09-01,3,3,002415|002063|000848,000848|002063|002415,,300043|300071|300026|300017|300058|300012|300054|300009|300045|300006|300014|300035|300008|300015|300044|300051|300016|300059|300066|002410
2010-10-08,3,3,002415|002063|000848,000848|002063|002415,,
2010-11-01,20,19,002236|002415|002252|002385|002285|002273|002310|002153|002003|002063|601101|002158|000848|002242|000650|002152|000708|000887|000338|002001,000338|000650|000708|000848|000887|002001|002003|002063|002152|002153|002236|002242|002252|002273|002285|002310|002385|002415|601101,002158,
2010-12-01,20,20,002236|002252|002415|002385|002285|002310|002273|002153|002003|601101|600742|002242|000848|002152|000650|600395|000708|000887|000338|002001,000338|000650|000708|000848|000887|002001|002003|002152|002153|002236|002242|002252|002273|002285|002310|002385|002415|600395|600742|601101,,002063
2011-01-04,20,20,002252|002236|002415|002385|002285|002273|002310|002003|002153|600742|000848|002242|000650|002152|000708|002001|600166|600517|000338|600660,000338|000650|000708|000848|002001|002003|002152|002153|002236|002242|002252|002273|002285|002310|002385|002415|600166|600517|600660|600742,,601101|000887|600395
2011-02-01,20,20,002236|002252|002415|002285|002385|002310|002273|002153|002003|002063|601101|000848|600742|002158|002242|000650|002152|000708|600750|600166,000650|000708|000848|002003|002063|002152|002153|002158|002236|002242|002252|002273|002285|002310|002385|002415|600166|600742|600750|601101,,002001|000338|600517|600660
2011-03-01,20,20,002236|002252|002415|002285|002385|002310|002273|002153|002003|002063|000848|002158|002242|002152|600750|600166|002001|600517|000338|600660,000338|000848|002001|002003|002063|002152|002153|002158|002236|002242|002252|002273|002285|002310|002385|002415|600166|600517|600660|600750,,600742|000650|000708|601101
2011-04-01,20,20,002236|002252|300099|002415|002385|002285|002273|002310|002153|002003|002063|000848|600742|002158|002242|000650|002152|600750|000887|600166,000650|000848|000887|002003|002063|002152|002153|002158|002236|002242|002252|002273|002285|002310|002385|002415|300099|600166|600742|600750,,002001|600517|000338|600660
2011-05-03,0,0,,,,002236|002252|002415|002385|002285|002273|002310|002153|002003|002063|000848|002158|002242|002152|600750|600166|300099|600742|000650|000887
2011-06-01,0,0,,,,
2011-07-01,0,0,,,,
2011-08-01,2,2,002581|601208,002581|601208,,
2011-09-01,2,2,601208|600160,600160|601208,,002581
2011-10-10,2,2,601208|600160,600160|601208,,
2011-11-01,20,20,300235|002458|002533|002293|002493|002252|002236|002153|002378|002408|000685|002158|000848|300003|000708|601233|600195|002001|000726|000338,000338|000685|000708|000726|000848|002001|002153|002158|002236|002252|002293|002378|002408|002458|002493|002533|300003|300235|600195|601233,,601208|600160
