date,micro_turnover_share,micro_turnover_share_roll20,micro_turnover_share_monthly,micro_turnover_mean,micro_turnover_pct60,excess_slope_60d,excess_slope_tstat_60d,snowball_dist_zz500_12m
2025-04-03,0.0639598930803465,0.0619706261211093,0.0592702426058499,4.585448136000596,33.33333333333333,0.0017390648147149,12.923277539816318,0.3338045169740196
2025-04-07,0.0540796329307893,0.0620594803557918,0.0592702426058499,6.11217788682998,98.33333333333331,0.0015741009282949,9.235551784977186,0.203038993602157
2025-04-08,0.0511047804013859,0.0617852003865474,0.0592702426058499,6.102465330646877,96.66666666666669,0.001335334023268,6.681827465840899,0.218231031376942
2025-04-09,0.0516599870444597,0.0614798221955078,0.0592702426058499,6.452937128794451,100.0,0.0011158967884342,5.231093360423987,0.2628157961105872
2025-04-10,0.0514606161917656,0.061261658649907,0.0592702426058499,5.695526912017983,80.0,0.0009692177486206,4.3879555401202985,0.3088600000831012
2025-04-11,0.0529214672362414,0.0610153127187184,0.0592702426058499,4.797143017584074,36.66666666666666,0.0008278669813365,3.6670063427197706,0.3202298114513628
2025-04-14,0.0552965568830001,0.0611387885077188,0.0592702426058499,4.640287031417746,30.0,0.0007285789525341,3.2127150071739434,0.3640398558453455
2025-04-15,0.0606232207643054,0.0612468237888352,0.0592702426058499,4.359904324566334,18.33333333333333,0.0006023584621226,2.6972062558207983,0.3406254941320563
2025-04-16,0.061172508184532,0.0612532336802233,0.0592702426058499,4.692271651753148,31.666666666666664,0.0004496389517226,2.018541574939568,0.3140121914561433
2025-04-17,0.0656429841973797,0.0614492627209304,0.0592702426058499,4.519672620094677,23.33333333333333,0.0003506163924201,1.5706187346038896,0.2860533952945858
2025-04-18,0.0713702514724198,0.0617707269250736,0.0592702426058499,4.515718352642415,21.666666666666668,0.0002470893310048,1.1041867520896456,0.2916940070753351
2025-04-21,0.0647546827020845,0.0618501426380857,0.0592702426058499,4.524525225425726,23.33333333333333,0.0001682640050229,0.7557594288152818,0.3122805067172503
