date,pos_ratio
2014-01-31,0.7133120788230486
2014-02-28,0.694318455176134
2014-03-31,0.5760229186232937
2014-04-30,0.4932160430363055
2014-05-31,0.43525123012541383
2014-06-30,0.49967586108778966
2014-07-31,0.6497731027614528
2014-08-31,0.754841171933017
2014-09-30,0.8283888203531119
2014-10-31,0.8798721742471783
2014-11-30,0.9042438553063874
2014-12-31,0.7937832459147391
2015-01-31,0.7169007099779944
2015-02-28,0.6555695708290731
2015-03-31,0.6082188947806
2015-04-30,0.5470806063466223
2015-05-31,0.488977125188799
2015-06-30,0.4322839876321593
2015-07-31,0.3925987913425115
2015-08-31,0.36481915393975806
2015-09-30,0.34537340775783065
2015-10-31,0.33176138543048145
2015-11-30,0.322232969801337
2015-12-31,0.3793124216654177
2016-01-31,0.3555186951657924
2016-02-29,0.33886308661605463
2016-03-31,0.32720416063123825
2016-04-30,0.3190429124418668
2016-05-31,0.31333003870930676
2016-06-30,0.47745497882543525
2016-07-31,0.5877258651778708
2016-08-31,0.658034668824574
2016-09-30,0.7181349481772478
2016-10-31,0.7598830205241194
2016-11-30,0.7447557393670213
2016-12-31,0.6113290175569148
2017-01-31,0.5660991488099297
2017-02-28,0.5997569269671057
2017-03-31,0.5575893397937297
2017-04-30,0.5532561259356399
2017-05-31,0.527447161780031
2017-06-30,0.4944209746094656
2017-07-31,0.5355122536934599
2017-08-31,0.5563672197189397
2017-09-30,0.5784650296034247
2017-10-31,0.5938516305892308
2017-11-30,0.5525256406258688
2017-12-31,0.5038804071048938
2018-01-31,0.4583822357860481
2018-02-28,0.41086756505023364
2018-03-31,0.3776072955351635
2018-04-30,0.3543251068746144
2018-05-31,0.33802757481223006
2018-06-30,0.326619302368561
2018-07-31,0.3186335116579927
2018-08-31,0.31304345816059487
2018-09-30,0.3091304207124164
2018-10-31,0.3063912944986915
2018-11-30,0.3044739061490841
2018-12-31,0.3031317343043589
2019-01-31,0.30219221401305124
2019-02-28,0.48732378180913594
2019-03-31,0.5905783098888819
2019-04-30,0.6388244801056618
2019-05-31,0.6619550517016642
2019-06-30,0.6166680979361349
2019-07-31,0.6103328773552944
2019-08-31,0.609198434148706
2019-09-30,0.6082536591040941
2019-10-31,0.6079690955728658
2019-11-30,0.515578366901006
2019-12-31,0.6339396568307042
2020-01-31,0.7206987517814929
2020-02-29,0.6602409889430202
2020-03-31,0.5521686922601141
2020-04-30,0.5345281006025591
2020-05-31,0.5522251291991935
2020-06-30,0.6405360032394808
2020-07-31,0.6513576800390686
2020-08-31,0.6069710675991528
2020-09-30,0.6007124320558497
2020-10-31,0.5382747587592143
2020-11-30,0.4772319792282655
2020-12-31,0.42406238545978586
2021-01-31,0.3868436698218501
2021-02-28,0.36079056887529504
2021-03-31,0.34255339821270653
2021-04-30,0.3830212622689577
2021-05-31,0.46202586878841795
2021-06-30,0.4482005196719874
2021-07-31,0.4737354280904197
2021-08-31,0.5063069977766319
2021-09-30,0.522775945540326
2021-10-31,0.5338781584149118
2021-11-30,0.5515595858904382
2021-12-31,0.6296196829233502
2022-01-31,0.5307337780463451
2022-02-28,0.4615136446324416
2022-03-31,0.4130595512427091
2022-04-30,0.3791416858698964
2022-05-31,0.35539918010892746
2022-06-30,0.4965250767920447
2022-07-31,0.5314972945544313
2022-08-31,0.4620481061881019
2022-09-30,0.4134336743316713
2022-10-31,0.3794035720321699
2022-11-30,0.3555825004225189
2022-12-31,0.3389077502957632
2023-01-31,0.5223059372070343
2023-02-28,0.6517384240449241
2023-03-31,0.741170444831447
2023-04-30,0.801438619382013
2023-05-31,0.651007033567409
2023-06-30,0.5457049234971862
2023-07-31,0.5665297152480303
2023-08-31,0.48657080067362124
2023-09-30,0.43059956047153486
2023-10-31,0.3914196923300744
2023-11-30,0.3639937846310521
2023-12-31,0.34479564924173645
2024-01-31,0.3313569544692155
2024-02-29,0.3862959451091881
2024-03-31,0.41822097519743273
2024-04-30,0.5098673741501614
2024-05-31,0.6195992307051599
2024-06-30,0.5237194614936119
2024-07-31,0.4566036230455284
2024-08-31,0.40962253613186983
2024-09-30,0.42326824141496705
2024-10-31,0.4371174824510805
2024-11-30,0.43134193459207637
2024-12-31,0.4706459534201342
2025-01-31,0.5359592812609429
2025-02-28,0.5655191136828805
2025-03-31,0.5248327201648141
2025-04-30,0.45738290411536986
2025-05-31,0.4101680328807589
2025-06-30,0.45823545155011824
2025-07-31,0.4911653206186687
2025-08-31,0.5013108932333306
2025-09-30,0.5078072380635928
2025-10-31,0.5278375865114081
2025-11-30,0.5503161217581952
2025-12-31,0.5419764884309979
2026-01-31,0.5359372387019594
2026-02-28,0.5464990605582634
2026-03-31,0.47254934239078433
2026-04-30,0.4738390891022313
2026-05-31,0.4811421673767985
2026-06-30,0.4975329203473868
2026-07-31,0.4382730442431707
2026-08-31,0.3967911309702195
