date,open,close,high,low,vol
2023-04-20,129.801,129.792,129.823,129.722,28781.000
2023-04-21,129.792,129.851,129.857,129.792,24726.000
2023-04-24,129.849,129.884,129.975,129.838,35063.000
2023-04-25,129.886,129.894,129.934,129.862,31477.000
2023-04-26,129.894,129.895,129.929,129.864,28067.000
2023-04-27,129.910,130.078,130.090,129.910,20789.000
2023-04-28,130.092,130.135,130.170,130.033,24639.000
2023-05-04,130.185,130.247,130.285,130.136,19461.000
2023-05-05,130.247,130.479,130.512,130.198,24226.000
2023-05-08,130.475,130.415,130.510,130.373,7382.000
2023-05-09,130.463,130.463,130.570,130.401,20516.000
2023-05-10,130.467,130.633,130.640,130.467,25766.000
2023-05-11,130.750,130.811,130.898,130.685,33491.000
2023-05-12,130.809,130.740,130.880,130.703,13655.000
2023-05-15,130.749,130.810,130.932,130.749,15318.000
2023-05-16,130.808,130.740,130.810,130.720,23216.000
2023-05-17,130.747,130.728,130.786,130.692,34685.000
2023-05-18,130.728,130.688,130.728,130.527,29491.000
2023-05-19,130.673,130.774,130.780,130.648,13746.000
2023-05-22,130.776,130.935,130.941,130.775,40847.000
2023-05-23,130.970,131.260,131.301,130.936,24308.000
2023-05-24,131.300,131.183,131.301,131.082,34021.000
2023-05-25,131.186,131.020,131.186,130.979,32659.000
2023-05-26,131.060,131.014,131.149,131.000,47512.000
2023-05-29,130.968,131.044,131.086,130.800,23610.000
2023-05-30,131.060,131.150,131.190,131.060,33462.000
2023-05-31,131.150,131.218,131.301,131.150,37618.000
2023-06-01,131.172,131.326,131.348,131.172,28477.000
2023-06-02,131.341,131.148,131.355,131.076,32985.000
2023-06-05,131.100,131.279,131.299,131.100,8265.000
2023-06-06,131.279,131.328,131.347,131.279,23186.000
2023-06-07,131.376,131.453,131.457,131.334,32481.000
2023-06-08,131.453,131.393,131.460,131.350,28282.000
2023-06-09,131.352,131.470,131.518,131.352,13942.000
2023-06-12,131.497,131.544,131.559,131.452,33844.000
2023-06-13,131.545,131.690,131.729,131.545,31430.000
2023-06-14,131.693,131.785,131.819,131.693,34686.000
2023-06-15,131.780,131.437,131.784,126.780,23959.000
2023-06-16,131.338,131.158,131.505,131.051,26094.000
2023-06-19,131.182,131.196,131.297,131.159,14489.000
2023-06-20,131.146,131.222,131.245,131.146,23121.000
2023-06-21,131.230,131.360,131.363,131.230,8069.000
2023-06-26,131.367,131.439,131.442,131.367,17688.000
2023-06-27,131.439,131.363,131.450,131.269,18489.000
2023-06-28,131.361,131.385,131.405,131.361,18874.000
2023-06-29,131.388,131.351,131.427,131.351,24742.000
2023-06-30,131.400,131.529,131.532,131.392,17665.000
2023-07-03,131.579,131.589,131.645,131.501,33780.000
2023-07-04,131.589,131.567,131.706,131.540,1938.000
2023-07-05,131.571,131.756,131.758,131.571,2447.000
2023-07-06,131.765,131.799,131.847,131.706,7248.000
2023-07-07,131.767,131.812,131.848,131.767,12351.000
2023-07-10,131.811,131.804,131.840,131.711,38836.000
2023-07-11,131.799,131.820,131.853,131.799,15704.000
2023-07-12,131.824,131.817,131.838,131.771,27915.000
2023-07-13,131.808,131.799,131.827,131.767,22041.000
2023-07-14,131.801,131.758,131.801,131.711,38272.000
2023-07-17,131.758,131.850,131.869,131.758,19564.000
2023-07-18,131.854,131.932,131.958,131.854,18657.000
2023-07-19,131.942,131.966,132.058,131.932,26977.000
2023-07-20,131.966,131.963,131.966,131.918,18669.000
2023-07-21,132.012,132.096,132.098,131.963,20426.000
2023-07-24,132.069,132.132,132.186,132.049,19778.000
2023-07-25,131.982,131.801,131.982,131.800,32774.000
2023-07-26,131.800,131.825,131.828,131.600,49935.000
2023-07-27,131.838,131.937,131.946,131.835,29896.000
2023-07-28,131.920,131.846,131.998,131.780,40530.000
2023-07-31,131.836,131.727,131.836,131.501,38139.000
2023-08-01,131.730,131.821,131.880,131.730,38412.000
2023-08-02,131.822,131.826,131.871,131.817,35022.000
2023-08-03,131.830,131.883,131.899,131.830,28023.000
2023-08-04,131.883,131.927,132.033,131.834,8637.000
2023-08-07,131.977,131.983,131.996,131.959,31109.000
2023-08-08,131.986,132.010,132.019,131.976,23325.000
2023-08-09,132.060,132.035,132.060,131.960,25941.000
2023-08-10,132.026,131.984,132.050,131.963,28507.000
2023-08-11,131.984,132.022,132.041,131.984,32870.000
2023-08-14,132.037,132.088,132.121,132.037,32210.000
2023-08-15,132.088,132.361,132.479,132.088,18317.000
2023-08-16,132.380,132.432,132.500,132.380,40170.000
2023-08-17,132.452,132.390,132.478,132.311,50072.000
2023-08-18,132.390,132.457,132.482,132.345,33130.000
2023-08-21,132.473,132.578,132.594,132.473,32990.000
2023-08-22,132.578,132.504,132.615,132.300,35735.000
2023-08-23,132.506,132.491,132.547,132.468,32232.000
2023-08-24,132.461,132.460,132.521,132.434,34923.000
2023-08-25,132.467,132.397,132.510,132.385,26396.000
2023-08-28,132.175,132.232,132.272,130.855,36151.000
2023-08-29,132.251,132.070,132.380,132.029,27171.000
2023-08-30,132.021,132.323,132.393,132.010,37123.000
2023-08-31,132.325,132.349,132.385,132.315,29511.000
2023-09-01,132.305,132.208,132.310,132.199,29137.000
2023-09-04,132.130,131.888,132.130,131.791,26614.000
2023-09-05,131.965,131.983,131.997,131.911,34148.000
2023-09-06,131.989,131.883,132.044,131.853,45076.000
2023-09-07,131.881,131.722,131.881,131.705,27480.000
2023-09-08,131.775,131.827,131.849,131.762,29664.000
2023-09-11,131.827,131.827,131.884,131.772,28002.000
2023-09-12,131.827,131.850,131.918,131.819,17140.000
2023-09-13,131.888,131.984,132.035,131.870,35354.000
2023-09-14,131.950,132.051,132.077,131.950,38508.000
2023-09-15,132.050,131.985,132.070,131.966,25571.000
2023-09-18,131.935,131.843,131.935,131.800,29555.000
2023-09-19,131.872,131.828,131.872,131.813,25879.000
2023-09-20,131.828,131.776,131.839,131.765,22783.000
2023-09-21,131.776,131.873,131.895,131.727,26749.000
2023-09-22,131.873,131.778,131.900,131.768,26261.000
2023-09-25,131.777,131.751,131.900,131.749,31232.000
2023-09-26,131.704,131.602,131.763,131.567,33886.000
2023-09-27,131.603,131.304,131.649,131.301,3745.000
2023-09-28,131.652,131.882,131.960,131.590,27356.000
2023-10-09,131.883,131.993,132.049,131.864,23688.000
