date,close_true,low
2019-06-27,106.350,106.213
2019-06-28,106.436,106.280
2019-07-01,106.501,106.335
2019-07-02,106.595,106.229
2019-07-03,106.796,106.601
2019-07-04,107.070,106.796
2019-07-05,106.890,106.720
2019-07-08,106.815,106.684
2019-07-09,106.911,106.817
2019-07-10,106.862,106.859
2019-07-11,106.913,106.875
2019-07-12,106.919,106.907
2019-07-15,106.990,106.957
2019-07-16,106.961,106.952
2019-07-17,106.980,106.963
2019-07-18,107.055,107.019
2019-07-19,107.076,107.069
2019-07-22,107.131,107.000
2019-07-23,107.175,107.160
2019-07-24,107.137,107.117
2019-07-25,107.031,106.698
2019-07-26,107.059,107.000
2019-07-29,107.002,106.910
2019-07-30,106.978,106.808
2019-07-31,107.139,106.978
2019-08-01,107.170,107.152
2019-08-02,107.441,107.270
2019-08-05,107.838,107.519
2019-08-06,108.098,108.012
2019-08-07,108.000,107.958
2019-08-08,108.120,107.821
2019-08-09,108.520,108.110
2019-08-12,108.439,108.220
2019-08-13,108.550,108.337
2019-08-14,108.610,108.479
2019-08-15,108.566,108.420
2019-08-16,108.430,108.374
2019-08-19,108.289,108.230
2019-08-20,108.199,108.179
2019-08-21,108.141,108.001
2019-08-22,108.101,108.010
2019-08-23,107.986,107.801
2019-08-26,108.220,108.050
2019-08-27,108.085,107.820
2019-08-28,108.132,108.085
2019-08-29,108.232,108.010
2019-08-30,108.159,108.040
2019-09-02,108.050,108.000
2019-09-03,108.051,108.020
2019-09-04,108.061,108.050
2019-09-05,108.141,108.019
2019-09-06,108.390,107.900
2019-09-09,108.221,108.100
2019-09-10,108.121,108.110
2019-09-11,108.130,108.003
2019-09-12,107.999,107.999
2019-09-16,107.852,107.800
2019-09-17,107.919,107.857
2019-09-18,107.841,107.830
2019-09-19,107.799,107.788
2019-09-20,107.813,107.781
2019-09-23,107.825,107.638
2019-09-24,107.799,107.760
2019-09-25,107.790,107.768
2019-09-26,107.530,107.510
2019-09-27,107.424,107.424
2019-09-30,107.430,107.254
2019-10-08,107.539,107.400
2019-10-09,107.701,107.602
2019-10-10,107.720,107.650
2019-10-11,107.598,107.519
2019-10-14,107.535,107.406
2019-10-15,107.524,107.453
2019-10-16,107.491,107.482
2019-10-17,107.510,107.471
2019-10-18,107.419,107.400
2019-10-21,107.250,107.249
2019-10-22,107.120,107.119
2019-10-23,107.141,107.140
2019-10-24,107.176,107.176
2019-10-25,107.122,107.111
2019-10-28,106.921,106.920
2019-10-29,106.649,106.600
2019-10-30,106.500,106.499
2019-10-31,106.651,106.511
2019-11-01,106.741,106.700
2019-11-04,106.674,106.551
2019-11-05,106.800,106.603
2019-11-06,106.901,106.760
2019-11-07,106.880,106.860
2019-11-08,106.715,106.710
2019-11-11,106.881,106.717
2019-11-12,106.948,106.923
2019-11-13,107.096,107.049
2019-11-14,107.212,107.096
2019-11-15,107.241,107.170
2019-11-18,107.442,107.079
2019-11-19,107.541,107.376
2019-11-20,107.606,107.550
2019-11-21,107.600,107.510
2019-11-22,107.565,107.503
2019-11-25,107.447,107.403
2019-11-26,107.491,107.412
2019-11-27,107.569,107.521
2019-11-28,107.601,107.569
2019-11-29,107.600,107.552
2019-12-02,107.691,107.528
2019-12-03,107.672,107.542
2019-12-04,107.823,107.673
2019-12-05,107.876,107.823
2019-12-06,107.845,107.629
2019-12-09,107.839,107.830
2019-12-10,107.720,107.709
2019-12-11,107.748,107.719
2019-12-12,107.795,107.726
2019-12-13,107.723,107.686
2019-12-16,107.695,107.689
2019-12-17,107.500,107.500
2019-12-18,107.500,107.452
2019-12-19,107.530,107.402
2019-12-20,107.705,107.506
2019-12-23,108.130,107.755
2019-12-24,108.210,108.178
2019-12-25,108.310,108.226
2019-12-26,108.449,108.309
2019-12-27,108.451,108.351
2019-12-30,108.444,108.300
2019-12-31,108.470,108.390
2020-01-02,108.351,108.350
2020-01-03,108.359,108.270
2020-01-06,108.500,108.286
2020-01-07,108.434,108.368
2020-01-08,108.438,108.352
2020-01-09,108.459,108.388
2020-01-10,108.874,108.457
2020-01-13,108.831,108.802
2020-01-14,108.741,108.737
2020-01-15,108.777,108.741
2020-01-16,108.750,108.731
2020-01-17,108.835,108.750
2020-01-20,108.947,108.788
2020-01-21,109.200,108.941
2020-01-22,109.330,109.040
2020-01-23,109.663,109.380
2020-02-03,110.935,110.000
2020-02-04,110.845,110.720
2020-02-05,110.873,110.689
2020-02-06,110.875,110.688
2020-02-07,111.030,110.870
2020-02-10,111.222,111.030
2020-02-11,111.304,111.173
2020-02-12,111.301,111.248
2020-02-13,111.189,111.107
2020-02-14,111.177,111.102
2020-02-17,110.996,110.811
2020-02-18,110.780,110.600
2020-02-19,110.754,110.750
2020-02-20,110.600,110.542
2020-02-21,110.811,110.609
2020-02-24,111.042,110.821
2020-02-25,111.050,111.050
2020-02-26,111.141,111.061
2020-02-27,111.349,111.141
2020-02-28,111.700,111.350
2020-03-02,111.710,111.700
2020-03-03,111.701,111.421
2020-03-04,111.901,111.716
2020-03-05,112.120,111.914
2020-03-06,112.545,112.100
2020-03-09,113.948,112.601
2020-03-10,113.074,112.953
2020-03-11,113.086,112.800
2020-03-12,113.282,112.910
2020-03-13,112.378,112.105
2020-03-16,112.389,112.191
2020-03-17,111.973,111.300
2020-03-18,112.035,111.680
2020-03-19,111.730,111.718
2020-03-20,111.700,111.581
2020-03-23,112.290,112.010
2020-03-24,112.476,112.050
2020-03-25,112.485,112.222
2020-03-26,112.651,112.460
2020-03-27,112.677,112.515
2020-03-30,112.705,112.631
2020-03-31,112.815,112.600
2020-04-01,112.970,112.828
2020-04-02,112.933,112.810
2020-04-03,112.934,112.910
2020-04-07,113.394,112.961
2020-04-08,113.610,113.403
2020-04-09,113.493,113.400
2020-04-10,113.381,113.300
2020-04-13,113.467,113.217
2020-04-14,113.429,113.391
2020-04-15,113.572,113.500
2020-04-16,113.877,113.570
2020-04-17,113.778,113.708
2020-04-20,113.431,113.385
2020-04-21,113.430,113.345
2020-04-22,113.714,113.435
2020-04-23,114.260,113.600
2020-04-24,114.532,114.232
2020-04-27,114.504,114.200
2020-04-28,114.634,114.322
2020-04-29,114.749,114.568
2020-04-30,114.501,114.405
2020-05-06,114.289,114.230
2020-05-07,113.755,113.700
2020-05-08,113.472,113.200
2020-05-11,112.922,112.913
2020-05-12,113.235,112.921
2020-05-13,112.979,112.954
2020-05-14,112.928,112.555
2020-05-15,113.132,112.768
2020-05-18,112.637,112.616
2020-05-19,112.784,112.349
2020-05-20,112.989,112.695
2020-05-21,113.039,112.766
2020-05-22,113.564,113.085
2020-05-25,113.203,113.120
2020-05-26,112.786,112.648
2020-05-27,112.784,112.630
2020-05-28,113.109,112.762
2020-05-29,112.733,112.688
2020-06-01,112.401,112.360
2020-06-02,112.063,111.922
2020-06-03,111.872,111.596
2020-06-04,111.499,111.494
2020-06-05,111.403,111.329
2020-06-08,111.781,111.332
2020-06-09,111.761,111.752
2020-06-10,111.731,111.637
2020-06-11,112.223,111.805
2020-06-12,112.318,112.255
2020-06-15,112.619,112.280
2020-06-16,111.787,111.760
2020-06-17,111.694,111.456
2020-06-18,111.513,111.418
2020-06-19,111.540,111.430
2020-06-22,111.560,111.430
2020-06-23,111.010,110.900
2020-06-24,111.520,111.143
2020-06-29,111.566,111.405
2020-06-30,111.463,111.350
2020-07-01,111.566,111.470
2020-07-02,111.716,111.405
2020-07-03,111.600,111.374
2020-07-06,110.585,110.481
2020-07-07,110.116,110.041
2020-07-08,109.756,109.747
2020-07-09,109.567,109.161
2020-07-10,109.839,109.650
2020-07-13,109.651,109.504
2020-07-14,110.088,109.815
2020-07-15,110.483,109.800
2020-07-16,110.744,110.309
2020-07-17,110.445,110.362
2020-07-20,110.334,110.118
2020-07-21,110.393,110.270
2020-07-22,111.077,110.290
2020-07-23,111.208,110.950
2020-07-24,111.393,111.152
2020-07-27,111.445,111.204
2020-07-28,111.151,111.100
2020-07-29,110.983,110.890
2020-07-30,110.763,110.710
2020-07-31,110.361,110.336
2020-08-03,110.442,110.133
2020-08-04,110.463,110.360
2020-08-05,110.606,110.450
2020-08-06,110.646,110.405
2020-08-07,110.510,110.450
2020-08-10,110.616,110.450
2020-08-11,110.488,110.467
2020-08-12,110.314,110.215
2020-08-13,110.597,110.312
2020-08-14,110.636,110.572
2020-08-17,110.726,110.636
2020-08-18,110.758,110.716
2020-08-19,110.579,110.560
2020-08-20,110.322,110.310
2020-08-21,110.359,110.308
2020-08-24,110.341,110.142
2020-08-25,110.033,109.960
2020-08-26,109.889,109.848
2020-08-27,109.956,109.880
2020-08-28,109.645,109.618
2020-08-31,109.724,109.518
2020-09-01,110.117,109.700
2020-09-02,109.962,109.848
2020-09-03,110.266,109.723
2020-09-04,110.291,110.160
2020-09-07,110.048,109.971
2020-09-08,110.397,109.990
2020-09-09,110.683,110.172
2020-09-10,110.746,110.458
2020-09-11,110.183,110.177
2020-09-14,109.797,109.760
2020-09-15,110.212,109.733
2020-09-16,110.250,110.000
