k,sh513100_ret,sh513100_trend_gross,sh513100_trend_cash,sh513100_mom_gross,sh513100_mom_cash,sh513100_mix_gross,sh513100_mix_cash,sh513100_sma200_gross,sh513100_sma200_cash,sh513100_sma240_gross,sh513100_sma240_cash,sh513100_ma50_200_gross,sh513100_ma50_200_cash,sh513100_buyhold_cash,sh513500_ret,sh513500_trend_gross,sh513500_trend_cash,sh513500_mom_gross,sh513500_mom_cash,sh513500_mix_gross,sh513500_mix_cash,sh513500_sma200_gross,sh513500_sma200_cash,sh513500_sma240_gross,sh513500_sma240_cash,sh513500_ma50_200_gross,sh513500_ma50_200_cash,sh513500_buyhold_cash,hs300_ret
201708,-0.012048192771084376,-0.012048192771084376,-0.012048192771084376,-0.012048192771084376,-0.012048192771084376,-0.008557027855939793,-0.007568506574803163,-0.012048192771084376,-0.011059671489947746,-0.012048192771084376,-0.011059671489947746,-0.012048192771084376,-0.011059671489947746,,-0.022222222222222254,-0.0,0.003411438658136312,-0.022222222222222254,-0.022222222222222254,-0.0,0.003411438658136312,-0.0,0.003411438658136312,-0.0,0.003411438658136312,-0.0,0.003411438658136312,,0.02253153063252822
201709,0.004878048780487809,0.004878048780487809,0.004878048780487809,0.004878048780487809,0.004878048780487809,0.0042305745496297835,0.004672658565394923,0.004878048780487809,0.005320132796252949,0.004878048780487809,0.005320132796252949,0.004878048780487809,0.005320132796252949,,0.02406417112299475,0.0,0.003330645902491769,0.02406417112299475,0.02406417112299475,0.0,0.003330645902491769,0.0,0.003330645902491769,0.0,0.003330645902491769,0.0,0.003330645902491769,,0.003769662328991119
201710,0.05339805825242716,0.05339805825242716,0.05339805825242716,0.05339805825242716,0.05339805825242716,0.04592468146478967,0.04637448901665699,0.05339805825242716,0.05384786580429449,0.05339805825242716,0.05384786580429449,0.05339805825242716,0.05384786580429449,,0.03394255874673635,0.03394255874673635,0.03394255874673635,0.03394255874673635,0.03394255874673635,0.03394255874673635,0.03394255874673635,0.03394255874673635,0.03394255874673635,0.03394255874673635,0.03394255874673635,0.03394255874673635,0.03394255874673635,,0.044367771571022674
201711,0.016129032258064502,0.016129032258064502,0.016129032258064502,0.016129032258064502,0.016129032258064502,0.016129032258064502,0.016129032258064502,0.016129032258064502,0.016129032258064502,0.016129032258064502,0.016129032258064502,0.016129032258064502,0.016129032258064502,,0.010101010101010166,0.010101010101010166,0.010101010101010166,0.010101010101010166,0.010101010101010166,0.010101010101010166,0.010101010101010166,0.010101010101010166,0.010101010101010166,0.010101010101010166,0.010101010101010166,0.010101010101010166,0.010101010101010166,,-0.00015449053314953165
201712,0.006802721088435382,0.006802721088435382,0.006802721088435382,0.006802721088435382,0.006802721088435382,0.006630357238083851,0.0067104561329054254,0.006802721088435382,0.006882819983256956,0.006802721088435382,0.006882819983256956,0.006802721088435382,0.006882819983256956,,0.019999999999999796,0.019999999999999796,0.019999999999999796,0.0,0.0031612802791989303,0.019999999999999796,0.019999999999999796,0.019999999999999796,0.019999999999999796,0.019999999999999796,0.019999999999999796,0.019999999999999796,0.019999999999999796,,0.006179577688918858
201801,0.03378378378378377,0.03378378378378377,0.03378378378378377,0.03378378378378377,0.03378378378378377,0.03190124763360362,0.03209179518644478,0.03378378378378377,0.03397433133662493,0.03378378378378377,0.03397433133662493,0.03378378378378377,0.03397433133662493,,0.01593137254901955,0.01593137254901955,0.01593137254901955,0.01593137254901955,0.01593137254901955,0.01593137254901955,0.01593137254901955,0.01593137254901955,0.01593137254901955,0.01593137254901955,0.01593137254901955,0.01593137254901955,0.01593137254901955,,0.06079206520700953
201802,-0.006535947712418277,-0.006535947712418277,-0.006535947712418277,-0.006535947712418277,-0.006535947712418277,-0.002980841897342196,-0.001115905729509929,-0.006535947712418277,-0.004671011544586011,-0.006535947712418277,-0.004671011544586011,-0.006535947712418277,-0.004671011544586011,,-0.030156815440289364,-0.030156815440289364,-0.030156815440289364,-0.030156815440289364,-0.030156815440289364,-0.016538117226663165,-0.014989763702010378,-0.030156815440289364,-0.028608461915636575,-0.030156815440289364,-0.028608461915636575,-0.030156815440289364,-0.028608461915636575,,-0.05899507916346958
201803,-0.04166666666666674,-0.04166666666666674,-0.04166666666666674,-0.04166666666666674,-0.04166666666666674,-0.016440899655309836,-0.014586372899090852,-0.04166666666666674,-0.039812139910447755,-0.04166666666666674,-0.039812139910447755,-0.04166666666666674,-0.039812139910447755,,-0.04726368159203986,-0.0,0.003063215011103626,-0.04726368159203986,-0.04726368159203986,-0.0,0.003063215011103626,-0.0,0.003063215011103626,-0.0,0.003063215011103626,-0.04726368159203986,-0.04420046658093624,,-0.03110217062054721
201804,0.006864988558352492,0.006864988558352492,0.006864988558352492,0.006864988558352492,0.006864988558352492,0.0025918554308875406,0.004752656276158314,0.006864988558352492,0.009025789403623266,0.006864988558352492,0.009025789403623266,0.006864988558352492,0.009025789403623266,,0.01305483028720622,0.0,0.003471427787802739,0.0,0.003471427787802739,0.0,0.003471427787802739,0.0,0.003471427787802739,0.0,0.003471427787802739,0.0,0.003471427787802739,,-0.03632706750138137
201805,0.06136363636363651,0.06136363636363651,0.06136363636363651,0.06136363636363651,0.06136363636363651,0.032821761838356805,0.034339211820109815,0.06136363636363651,0.06288108634538951,0.06136363636363651,0.06288108634538951,0.06136363636363651,0.06288108634538951,,0.037371134020618646,0.037371134020618646,0.037371134020618646,0.037371134020618646,0.037371134020618646,0.022179433020059744,0.023505645490652052,0.037371134020618646,0.038697346491210954,0.037371134020618646,0.038697346491210954,0.0,0.001326212470592308,,0.012110856969765216
