date,buyhold,BASE_MA15,A_REB,B_triple_C,B_FLOW_top
2017-03-14,31.317458296432136,87.89487762448292,71.04860218823488,75.28625352658462,3.770832525350329
2017-03-15,31.42162787616555,88.18723763582858,71.28492733826911,75.53667414869689,3.770832525350329
2017-03-16,32.10219363227126,90.09729825703613,72.82889828287153,77.17273431586324,3.770832525350329
2017-03-17,31.781575280382985,89.19745796550795,72.1015248950972,76.4019771778778,3.770832525350329
2017-03-20,32.28211949655925,90.60227416131869,73.23708853363107,77.60527082973219,3.770832525350329
2017-03-21,32.663526454050185,91.67272239298796,74.10237047759028,78.5221619971657,3.770832525350329
2017-03-22,32.89944271842947,92.33483970119893,74.6375837972334,79.08929779480887,3.770832525350329
2017-03-23,32.99238920934796,92.59570124262984,74.84844759708439,79.31273843975077,3.770832525350329
2017-03-24,33.239596082057574,93.28950651951651,75.40927544559928,79.907016529504,3.770832525350329
2017-03-27,33.30886589076378,93.48391761449341,75.56642495102331,80.07353912308841,3.773034520298157
2017-03-28,33.07544267591988,92.82879724331836,75.03686750814384,79.5123965435921,3.7465936966948172
2017-03-29,32.2199367812139,90.42775354397152,73.09601721923072,77.45578540124855,3.7409738061497753
2017-03-30,31.28202223742306,87.79542357426543,70.9682098896063,75.20106627743789,3.7409738061497753
2017-03-31,31.248476368203423,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-05,31.87535608541803,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-06,32.17891386203903,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-07,31.942535686994912,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-10,30.72526794824133,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-11,31.20415836550302,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-12,30.689465761302877,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-13,30.849972607936238,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-14,30.497389063051795,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-17,29.31692156243766,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-18,28.946809938972653,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-19,29.258306123002058,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-20,28.983504000907583,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-21,28.84316704160328,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-24,28.161222585559145,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-25,28.50672310468048,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-26,28.837428670079472,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-27,29.60064293207055,87.66373043890404,70.8617575747719,75.08826467802173,3.7409738061497753
2017-04-28,29.792973759632254,87.66373043890404,71.21589076456863,75.08826467802173,3.7409738061497753
2017-05-02,29.766935009846605,87.45561765287754,71.15364881533114,74.91000591716589,3.7409738061497753
2017-05-03,30.017433207465427,88.1915844088247,71.75242933392828,75.54039737196828,3.7409738061497753
2017-05-04,29.90169847914764,87.851554367251,71.4757818318681,75.24914504181608,3.7409738061497753
2017-05-05,29.613788259621742,87.00567063522135,70.7875731653153,74.52460433108575,3.7409738061497753
2017-05-08,28.924071204653337,84.97927352621323,69.13890207791808,72.78889628281802,3.7409738061497753
2017-05-09,29.392451371795413,84.85180461592392,70.25849863409253,72.67971293839379,3.7409738061497753
2017-05-10,29.019086892568726,83.64667704063999,69.36602364376428,71.64746233839487,3.7409738061497753
2017-05-11,29.183592987632554,83.52120702507904,69.75925220129905,71.53999114488728,3.7409738061497753
2017-05-12,29.300351489328385,83.52120702507904,70.03834688884821,71.53999114488728,3.7409738061497753
2017-05-15,29.380340345556178,83.62393496463379,70.22954893848112,71.62798264007571,3.7409738061497753
2017-05-16,30.19646036994921,85.94682050784026,72.18036844971438,73.61764750616989,3.7409738061497753
2017-05-17,30.436427390197885,86.62982779294705,72.7539756780161,74.20267658882864,3.7409738061497753
2017-05-18,30.288285275549995,86.20817758688632,72.39986290164428,73.84151260327025,3.7409738061497753
2017-05-19,30.07423337632294,85.59893133958317,71.8882021055019,73.31966345034749,3.7409738061497753
2017-05-22,28.872988890966624,82.1798834477416,69.01679703057152,70.39108202033002,3.7409738061497753
2017-05-23,27.610806504572096,82.05661362257,68.91327183502567,70.28549539729953,3.7409738061497753
2017-05-24,27.903395910246715,82.05661362257,68.91327183502567,70.28549539729953,3.7409738061497753
2017-05-25,27.918521326792117,82.05661362257,68.91327183502567,70.28549539729953,3.7409738061497753
2017-05-26,28.208024377128602,82.05661362257,68.91327183502567,70.28549539729953,3.7409738061497753
2017-05-31,28.20276378960794,82.05661362257,68.91327183502567,70.28549539729953,3.7409738061497753
2017-06-01,26.882792696275146,82.05661362257,68.91327183502567,70.28549539729953,3.7409738061497753
2017-06-02,27.460423897461197,82.05661362257,68.91327183502567,70.28549539729953,3.7409738061497753
2017-06-05,27.828558386437713,82.05661362257,68.91327183502567,70.28549539729953,3.7409738061497753
2017-06-06,27.969279224073468,82.05661362257,68.91327183502567,70.28549539729953,3.7409738061497753
2017-06-07,29.00529246305481,82.05661362257,68.91327183502567,70.28549539729953,3.7409738061497753
2017-06-08,28.95174382995025,81.78203843523832,68.68267647301408,70.05030834517257,3.7409738061497753
2017-06-09,29.034035874564413,82.01449459384068,68.87789918255915,70.24941839303135,3.7409738061497753
2017-06-12,28.154098367963122,79.5288728845525,66.79040961932785,68.12036205625425,3.7409738061497753
2017-06-13,28.953456149357958,79.40957957522568,68.68673863523092,68.01818151316988,3.7409738061497753
2017-06-14,29.03161633942272,79.50483228523827,68.87215928135221,68.09977010933062,3.7409738061497753
2017-06-15,29.709994586244406,81.36261202815507,70.48148664782968,69.69104915199952,3.7409738061497753
2017-06-16,29.58271971398767,81.01406211434417,70.17955046997119,69.3924991353541,3.7409738061497753
2017-06-19,29.716534310254357,81.38052145677675,70.49700093778183,69.70638945191425,3.7409738061497753
2017-06-20,29.69141790372233,81.31173866268115,70.43741689220116,69.64747363094148,3.7409738061497753
2017-06-21,29.666954715122394,81.24474474528914,70.37938248577727,69.59009007019448,3.7409738061497753
2017-06-22,29.00579373966757,79.4341155384096,68.81089992250004,68.0391977634305,3.7409738061497753
2017-06-23,29.018648105713105,79.46931799509113,68.84139453690243,68.06935038608738,3.7409738061497753
2017-06-26,29.379882327159716,79.3501140180985,69.69835615235209,67.96724636050826,3.7409738061497753
2017-06-27,29.46526390747402,79.46169011557004,69.90090821594889,68.0628167349007,3.7409738061497753
2017-06-28,29.104307574366587,78.48826593797901,69.04460583936952,67.22903140629342,3.7409738061497753
2017-06-29,29.31403243858067,78.37053353907204,69.54213942773534,67.12818785918398,3.7409738061497753
2017-06-30,29.617261869786887,79.06365611807449,70.26149536853666,67.72188118487152,3.7409738061497753
2017-07-03,29.98456786222468,80.04418412244868,71.13286114164448,68.5617512879123,3.7409738061497753
2017-07-04,30.036738533493136,80.1834543909412,71.25662644425138,68.6810430717548,3.7409738061497753
2017-07-05,30.49914997513971,81.41786759794677,72.3536123678135,69.73837824498564,3.7409738061497753
2017-07-06,30.696397512856176,81.9444224010449,72.82154579861651,70.18939813912615,3.7409738061497753
2017-07-07,31.175665445022695,83.22383422323935,73.95852063931093,71.28527682300307,3.7409738061497753
2017-07-10,30.37832843705688,81.09533296997758,72.06698553594265,69.46211159067464,3.7409738061497753
2017-07-11,29.818712194475122,79.60143031428649,70.73939913686277,68.18251103692099,3.7409738061497753
2017-07-12,30.01692507086023,80.13056210120138,71.20962265574666,68.63573824350341,3.7409738061497753
2017-07-13,29.726419850477292,79.35505473168683,70.52045256007034,67.9714783228918,3.7409738061497753
2017-07-14,29.426891158349772,79.2360221495893,70.41467188123023,67.86952110540746,3.7409738061497753
2017-07-17,27.23001302562128,79.2360221495893,70.41467188123023,67.86952110540746,3.7409738061497753
2017-07-18,27.36911890514151,79.2360221495893,70.41467188123023,67.86952110540746,3.7409738061497753
2017-07-19,27.53869021503861,79.2360221495893,70.41467188123023,67.86952110540746,3.7409738061497753
2017-07-20,27.52411612422743,79.2360221495893,70.41467188123023,67.86952110540746,3.7409738061497753
2017-07-21,27.302205107082653,79.2360221495893,70.41467188123023,67.86952110540746,3.7409738061497753
2017-07-24,27.587961565088367,79.2360221495893,70.41467188123023,67.86952110540746,3.7409738061497753
2017-07-25,27.61840872929615,79.2360221495893,70.41467188123023,67.86952110540746,3.7409738061497753
2017-07-26,27.516068358442823,79.2360221495893,70.41467188123023,67.86952110540746,3.7409738061497753
2017-07-27,28.341398792811834,79.2360221495893,70.41467188123023,67.86952110540746,3.7409738061497753
2017-07-28,28.10302711376411,79.2360221495893,69.71681151253468,67.86952110540746,3.7409738061497753
2017-07-31,28.184450208738653,79.2360221495893,69.91880251308163,67.86952110540746,3.7409738061497753
2017-08-01,28.260335791630478,79.2360221495893,70.10705628580055,67.86952110540746,3.7409738061497753
2017-08-02,27.89218523252991,78.08495158255023,69.19376381260368,66.88357297191857,3.7409738061497753
2017-08-03,28.17877593876756,77.96782415517642,69.90472602201736,66.7832476124607,3.7409738061497753
2017-08-04,27.927275432259407,77.15499594407562,69.28081410902104,66.08702056910626,3.7409738061497753
2017-08-07,28.14305631082157,77.7511361887857,69.81611426646776,66.59764379100083,3.7409738061497753
2017-08-08,28.212417721622344,77.9427617335686,69.9881831465733,66.76178042485944,3.7409738061497753
