date,ic,n,note
2020-04-01,-0.17801052857614583,3215,
2020-05-06,0.1288044505516435,3193,
2020-06-01,-0.12182029489318745,3200,
2020-07-01,0.08152022672543137,3218,
2020-08-03,0.22879245811223534,3257,
2020-09-01,0.1143616772660412,3270,
2020-10-09,0.10010686804971007,3286,
2020-11-02,0.12489261843056669,3302,
2020-12-01,-0.21563841500249975,3336,
2021-01-04,-0.09498162878509421,3361,
2021-02-01,0.23031837867822005,3378,
2021-03-01,0.2896916500021206,3393,
2021-04-01,0.03857217940196103,3411,
2021-05-06,-0.07680313573828954,3421,
2021-06-01,0.07397917956017774,3453,
2021-07-01,-0.023886702142915932,3482,
2021-08-02,0.17481981891403425,3523,
2021-09-01,0.18511996352519539,3584,
2021-10-08,-0.1431636888561736,3645,
2021-11-01,0.2701272308147753,3672,
2021-12-01,0.3088257776458897,3692,
2022-01-04,0.2567211321248756,3747,
2022-02-07,0.02452784013720796,3784,
2022-03-01,0.17445210493710261,3811,
2022-04-01,0.027229442382318822,3846,
2022-05-05,0.1265980580970328,3876,
2022-06-01,-0.1277490218055619,3934,
2022-07-01,0.22552794355442415,3988,
2022-08-01,0.18055757048570467,4035,
2022-09-01,0.08160469099100466,4078,
2022-10-10,0.15892178610799418,4114,
2022-11-01,0.08186132236398504,4145,
2022-12-01,-0.0031113878826159605,4186,
2023-01-03,0.10734537651114301,4222,
2023-02-01,0.2888014388834422,4242,
2023-03-01,0.007785085006982949,4264,
2023-04-03,0.1077409832753151,4297,
2023-05-04,0.2267401752353991,4310,
2023-06-01,0.14106533448407996,4332,
2023-07-03,0.25370704321545823,4360,
2023-08-01,0.24943257229109486,4389,
2023-09-01,0.12986692427120686,4431,
2023-10-09,0.18161879655504973,4469,
2023-11-01,0.13203720927171306,4499,
2023-12-01,0.25412930525965577,4522,
2024-01-02,-0.12229455639240763,4544,
2024-02-01,-0.4900515406593459,4551,
2024-03-01,0.3529766361975138,4564,
2024-04-01,0.04013997370676733,4588,
2024-05-06,0.00837322311842875,4601,
2024-06-03,0.002449243022258254,4625,
2024-07-01,0.03585515729189918,4661,
2024-08-01,0.2179708887675429,4689,
2024-09-02,-0.14057211623003488,4715,
2024-10-08,0.009632367284102262,4723,
2024-11-01,0.34062533639130976,4727,
2024-12-02,0.05119387347441306,4740,
2025-01-02,0.1090512724551706,4745,
2025-02-05,0.04264128314767046,4758,
2025-03-03,0.25895813110515836,4761,
2025-04-01,0.13615753008707646,4765,
2025-05-06,0.3001520159515979,4744,
2025-06-03,0.10343531004000234,4750,
2025-07-01,0.19937611259420326,4765,
2025-08-01,-0.22860125894805428,4774,
2025-09-01,-0.0069440077195078945,4782,
2025-10-09,0.376778857786676,4780,
2025-11-03,0.22191916441486137,4793,
2025-12-01,-0.17306856134175022,4793,
2026-01-05,0.199579792518352,4808,
2026-02-02,-0.0880432193904284,4820,
2026-03-02,0.2656020375116644,4817,
2026-04-01,-0.08615279460282457,4827,
2026-05-06,-0.009842342098710936,4810,
2026-06-01,-0.2934705534067293,4827,
2026-07-01,0.4243087535187921,4847,
2026-08-03,,0,last_no_fwd
