date,ic,n,note
2010-04-01,0.12260814726939424,1253,
2010-05-04,0.02075812284865805,1246,
2010-06-01,0.1795298324995657,1245,
2010-07-01,0.018189864034566648,1251,
2010-08-02,0.17990358544143015,1240,
2010-09-01,-0.024917392502868983,1244,
2010-10-08,-0.1371070756720289,1261,
2010-11-01,0.32548350975708723,1299,
2010-12-01,0.10105738535037193,1310,
2011-01-04,0.05627389869327073,1336,
2011-02-01,0.012062361497363169,1376,
2011-03-01,0.08345479423068343,1386,
2011-04-01,0.03202399689560232,1394,
2011-05-03,0.08949339479082562,1432,
2011-06-01,0.0452622921477066,1461,
2011-07-01,0.2059167310492148,1483,
2011-08-01,0.2699545575466007,1505,
2011-09-01,0.08893378146612496,1544,
2011-10-10,0.1107445967235681,1550,
2011-11-01,0.24305994081459686,1593,
2011-12-01,0.019897452309504328,1605,
2012-01-04,-0.3198519300370289,1648,
2012-02-01,0.03850879208169845,1690,
2012-03-01,0.13311367278578223,1713,
2012-04-05,-0.07660252456669973,1711,
2012-05-02,0.20178051323788626,1724,
2012-06-01,0.30136464476084207,1774,
2012-07-02,-0.06923914548582205,1816,
2012-08-01,0.32865502698561855,1843,
2012-09-03,-0.09464446691657459,1861,
2012-10-08,0.10256998456303437,1874,
2012-11-01,-0.002170838078173177,1894,
2012-12-03,-0.03027462158101891,1903,
2013-01-04,0.08338546988025708,1920,
2013-02-01,0.31255333528029394,1928,
2013-03-01,0.10443394312612914,1932,
2013-04-01,0.1253316370733759,1950,
2013-05-02,0.1741984105421774,1961,
2013-06-03,0.1445514435845504,1970,
2013-07-01,0.17283327010944566,1986,
2013-08-01,0.11151620867118944,1996,
2013-09-02,0.08541093175483358,1996,
2013-10-08,0.16315568575389058,2017,
2013-11-01,0.21038687876396292,2006,
2013-12-02,0.3625510191623192,2004,
2014-01-02,0.16299916489081445,2007,
2014-02-07,0.14271013027148174,2013,
2014-03-03,0.19321563768895586,1987,
2014-04-01,0.12647098095685888,1963,
2014-05-05,0.1825056787264576,1929,
2014-06-03,0.1987039903564668,1919,
2014-07-01,0.08417486636722343,1917,
2014-08-01,0.2256062785694156,1925,
2014-09-01,0.2431182681955628,1910,
2014-10-08,0.1166260126081313,1899,
2014-11-03,0.021634500701747564,1903,
2014-12-01,-0.30774700629879886,1882,
2015-01-05,0.35035659948703723,1882,
2015-02-02,0.05009112109719597,1909,
2015-03-02,0.23528506384701092,1920,
2015-04-01,0.06559142634244376,1869,
2015-05-04,0.36348502847990627,1844,
2015-06-01,0.08343609630299775,1804,
2015-07-01,-0.031509450507687546,1788,
2015-08-03,0.11859710951083402,1723,
2015-09-01,0.2822990203886033,1767,
2015-10-08,0.18005303105287512,1826,
2015-11-02,0.2796664095428053,1843,
2015-12-01,0.249925497683961,1927,
2016-01-04,0.1892517041633384,1983,
2016-02-01,0.022866275917885686,2041,
2016-03-01,0.1749637495240727,2049,
2016-04-01,0.2758507304163872,2047,
2016-05-03,0.05107989206752094,2070,
