t,A,A2
2009-07-31,0.48413733753836247,0.5158626624616376
2009-08-31,0.4841374449263957,0.5158625550736042
2009-09-30,0.484137705052135,0.5158622949478651
2009-10-31,0.4840301624452137,0.5159698375547862
2009-11-30,0.4837861718541831,0.516213828145817
2009-12-31,0.4831780810868284,0.5168219189131715
2010-01-31,0.48198213466202594,0.5180178653379739
2010-02-28,0.4822393802047726,0.5177606197952274
2010-03-31,0.48239141377499833,0.5176085862250017
2010-04-30,0.48238105037862306,0.5176189496213769
2010-05-31,0.4828793655788995,0.5171206344211006
2010-06-30,0.48370137742231206,0.516298622577688
2010-07-31,0.48292986437827023,0.5170701356217299
2010-08-31,0.4834611259585133,0.5165388740414866
2010-09-30,0.4854833701563194,0.5145166298436805
2010-10-31,0.4837664737505643,0.5162335262494357
2010-11-30,0.48099745335228794,0.519002546647712
2010-12-31,0.48089308682918475,0.5191069131708153
2011-01-31,0.47985755588022194,0.5201424441197781
2011-02-28,0.479844635909172,0.5201553640908281
2011-03-31,0.48030044335325606,0.5196995566467439
2011-04-30,0.4751127746125049,0.5248872253874951
2011-05-31,0.4753086573596127,0.5246913426403873
2011-06-30,0.47597262033914334,0.5240273796608566
2011-07-31,0.47677460232184155,0.5232253976781585
2011-08-31,0.47660738521694124,0.5233926147830588
2011-09-30,0.4770733531218182,0.5229266468781818
2011-10-31,0.47572684050083003,0.52427315949917
2011-11-30,0.4762566539642845,0.5237433460357155
2011-12-31,0.4757651357217046,0.5242348642782955
2012-01-31,0.47489398687437784,0.5251060131256222
2012-02-29,0.4747357723254707,0.5252642276745293
2012-03-31,0.4758109733175391,0.5241890266824609
2012-04-30,0.47552164850945244,0.5244783514905476
2012-05-31,0.47446556147869645,0.5255344385213035
2012-06-30,0.4759704269605323,0.5240295730394677
2012-07-31,0.47524881365055893,0.5247511863494411
2012-08-31,0.47454553518702086,0.5254544648129792
2012-09-30,0.47370250545772313,0.5262974945422769
2012-10-31,0.47343003817912643,0.5265699618208737
2012-11-30,0.4740708243572005,0.5259291756427995
2012-12-31,0.47270159678946067,0.5272984032105393
2013-01-31,0.4747659832568653,0.5252340167431347
2013-02-28,0.4763044437923639,0.523695556207636
2013-03-31,0.4766878327472226,0.5233121672527774
2013-04-30,0.47442567236677713,0.525574327633223
2013-05-31,0.4701332584422166,0.5298667415577833
2013-06-30,0.4709832240517014,0.5290167759482985
2013-07-31,0.4693187236937024,0.5306812763062976
2013-08-31,0.4694085324426378,0.5305914675573622
2013-09-30,0.46801185924730065,0.5319881407526993
2013-10-31,0.47150312487354923,0.5284968751264508
2013-11-30,0.47366005208193207,0.5263399479180679
2013-12-31,0.4736545080119404,0.5263454919880596
2014-01-31,0.4732848576747503,0.5267151423252497
2014-02-28,0.47373960088855005,0.5262603991114498
2014-03-31,0.4717237840457462,0.5282762159542538
2014-04-30,0.47242413949863404,0.527575860501366
2014-05-31,0.4722182112498648,0.5277817887501353
2014-06-30,0.47006084857095576,0.5299391514290442
2014-07-31,0.4693306549995502,0.5306693450004499
2014-08-31,0.47111160391279555,0.5288883960872043
2014-09-30,0.4698002147788669,0.5301997852211332
2014-10-31,0.46972597586212483,0.5302740241378752
2014-11-30,0.4697281058133233,0.5302718941866768
2014-12-31,0.46973139531301156,0.5302686046869884
2015-01-31,0.46793930153365837,0.5320606984663417
