合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日,ym
510300,300ETF,,,1197674,692638,505036,72.91,1996343,1069720,926623,2021-05-31,202105
510050,50ETF,,,1303758,803020,500738,62.36,2878338,1734399,1143939,2021-06-30,202106
510300,300ETF,,,1154350,662123,492227,74.34,1779471,946431,833040,2021-06-30,202106
510050,50ETF,,,2432762,1207104,1225658,101.54,2876476,1827927,1048549,2021-07-30,202107
510300,300ETF,,,2184517,980206,1204311,122.86,1943593,1058529,885064,2021-07-30,202107
510050,50ETF,,,2896607,1477722,1418885,96.02,3147850,2018514,1129336,2021-08-31,202108
510300,300ETF,,,1952363,938552,1013811,108.02,1770224,914633,855591,2021-08-31,202108
510050,50ETF,,,1805683,989941,815742,82.4,2498726,1360650,1138076,2021-09-30,202109
510300,300ETF,,,1200270,635489,564781,88.87,1589830,792370,797460,2021-09-30,202109
510050,50ETF,,,1433122,811538,621584,76.59,2381754,1385162,996592,2021-10-29,202110
510300,300ETF,,,1035636,541050,494586,91.41,1556305,802895,753410,2021-10-29,202110
510050,50ETF,,,1759099,929056,830043,89.34,2738329,1637590,1100739,2021-11-30,202111
510300,300ETF,,,1359086,634406,724680,114.23,1671667,847757,823910,2021-11-30,202111
510050,50ETF,,,1270721,694421,576300,82.99,3020657,1791627,1229030,2021-12-31,202112
510300,300ETF,,,885084,455286,429798,94.4,1824449,948497,875952,2021-12-31,202112
510050,50ETF,,,2843086,1442997,1400089,97.03,2630557,1554493,1076064,2022-01-28,202201
510300,300ETF,,,2555697,1183583,1372114,115.93,1877733,966481,911252,2022-01-28,202201
510050,50ETF,,,1397796,705598,692198,98.1,2603016,1458172,1144844,2022-02-28,202202
510300,300ETF,,,1362871,611048,751823,123.04,1855142,913852,941290,2022-02-28,202202
510050,50ETF,,,1330731,722143,608588,84.28,2558497,1393278,1165219,2022-03-31,202203
510300,300ETF,,,1136419,571006,565413,99.02,2018898,1031569,987329,2022-03-31,202203
510050,50ETF,,,2683078,1428338,1254740,87.85,2438177,1393288,1044889,2022-04-29,202204
510300,300ETF,,,2461696,1245369,1216327,97.67,1997943,1035403,962540,2022-04-29,202204
510050,50ETF,,,2223262,1182716,1040546,87.98,2411568,1267506,1144062,2022-05-31,202205
510300,300ETF,,,2245278,1089382,1155896,106.11,2283143,1059932,1223211,2022-05-31,202205
510050,50ETF,,,3070818,1737458,1333360,76.74,2409403,1074266,1335137,2022-06-30,202206
510300,300ETF,,,2511241,1347284,1163957,86.39,2076098,883860,1192238,2022-06-30,202206
510050,50ETF,,,2560134,1353185,1206949,89.19,2263812,1336657,927155,2022-07-29,202207
510300,300ETF,,,2095554,1017930,1077624,105.86,1677062,908089,768973,2022-07-29,202207
510050,50ETF,,,2213454,1206262,1007192,83.5,2198122,1229338,968784,2022-08-31,202208
510300,300ETF,,,1704217,853931,850286,99.57,1791946,935791,856155,2022-08-31,202208
510050,50ETF,,,1570360,830557,739803,89.07,1961337,1167833,793504,2022-09-30,202209
510300,300ETF,,,1456697,720602,736095,102.15,1502320,830613,671707,2022-09-30,202209
510500,500ETF,,,614331,291381,322950,110.83,418104,213815,204289,2022-09-30,202209
510050,50ETF,,,2429962,1211958,1218004,100.5,2486546,1631677,854869,2022-10-31,202210
510300,300ETF,,,1861165,884610,976555,110.39,1687278,967628,719650,2022-10-31,202210
510500,500ETF,,,775901,403499,372402,92.29,632000,336557,295443,2022-10-31,202210
510050,50ETF,,,1678132,951119,727013,76.44,2246482,1182682,1063800,2022-11-30,202211
510300,300ETF,,,1001323,541369,459954,84.96,1637776,783328,854448,2022-11-30,202211
510500,500ETF,,,356364,201296,155068,77.03,559371,284014,275357,2022-11-30,202211
510050,50ETF,,,1337694,698002,639692,91.65,1658644,864994,793650,2022-12-30,202212
510300,300ETF,,,668982,346239,322743,93.21,1157105,562476,594629,2022-12-30,202212
510500,500ETF,,,259408,141449,117959,83.39,493439,251139,242300,2022-12-30,202212
510050,50ETF,,,1881106,916143,964963,105.33,1779881,889224,890657,2023-01-31,202301
510300,300ETF,,,1110251,587512,522739,88.98,1289710,641020,648690,2023-01-31,202301
510500,500ETF,,,333057,176732,156325,88.45,542426,258525,283901,2023-01-31,202301
510050,50ETF,,,1944976,950768,994208,104.57,2037861,1100367,937494,2023-02-28,202302
510300,300ETF,,,1140230,596479,543751,91.16,1408081,708870,699211,2023-02-28,202302
510500,500ETF,,,531146,253407,277739,109.6,626974,295673,331301,2023-02-28,202302
510050,50ETF,,,1410181,766766,643415,83.91,1887796,989013,898783,2023-03-31,202303
510300,300ETF,,,890003,473111,416892,88.12,1298902,611930,686972,2023-03-31,202303
510500,500ETF,,,394435,206258,188177,91.23,580149,255057,325092,2023-03-31,202303
510050,50ETF,,,1798896,975309,823587,84.44,1820889,939244,881645,2023-04-28,202304
510300,300ETF,,,857177,452733,404444,89.33,1308535,656227,652308,2023-04-28,202304
510500,500ETF,,,524504,270674,253830,93.78,646905,312166,334739,2023-04-28,202304
510050,50ETF,,,2343366,1182454,1160912,98.18,2662765,1686948,975817,2023-05-31,202305
510300,300ETF,,,1352952,671283,681669,101.55,1511335,814333,697002,2023-05-31,202305
510500,500ETF,,,595225,298083,297142,99.68,703696,342788,360908,2023-05-31,202305
510050,50ETF,,,1337030,713147,623883,87.48,1865606,1109349,756257,2023-06-30,202306
510300,300ETF,,,1053253,572345,480908,84.02,1157932,599877,558055,2023-06-30,202306
510500,500ETF,,,588991,314947,274044,87.01,632966,290043,342923,2023-06-30,202306
588000,科创50,,,303835,179225,124610,69.53,590792,364485,226307,2023-06-30,202306
588080,科创板50,,,149685,87238,62447,71.58,142067,92992,49075,2023-06-30,202306
510050,上证50ETF,108.0,145124.0,3037491,1714286,1323205,77.19,2082890,976668,1106222,2023-07-31,202307
510300,沪深300ETF,92.0,128348.0,1880733,1122084,758649,67.61,1532694,793873,738821,2023-07-31,202307
510500,中证500ETF,82.0,59074.0,804584,449431,355153,79.02,728353,348031,380322,2023-07-31,202307
588000,科创50ETF,82.0,13714.0,519179,350566,168613,48.1,758403,476973,281430,2023-07-31,202307
588080,科创板50ETF,88.0,5118.0,207621,141345,66276,46.89,265675,189549,76126,2023-07-31,202307
510050,上证50ETF,106.0,50048.0,1225863,679166,546697,80.5,2451512,1492574,958938,2023-08-31,202308
510300,沪深300ETF,94.0,49513.0,856041,455244,400797,88.04,1829497,1037151,792346,2023-08-31,202308
510500,中证500ETF,88.0,38653.0,427297,202217,225080,111.31,767283,383163,384120,2023-08-31,202308
588000,科创50ETF,96.0,24349.0,758183,479969,278214,57.96,1120883,708420,412463,2023-08-31,202308
588080,科创板50ETF,94.0,7836.0,255122,161676,93446,57.8,432087,288641,143446,2023-08-31,202308
510050,上证50ETF,94.0,44788.0,1198930,663564,535366,80.68,1660272,943323,716949,2023-09-28,202309
510300,沪深300ETF,92.0,40073.0,759682,444074,315608,71.07,1367769,775867,591902,2023-09-28,202309
510500,中证500ETF,82.0,20287.0,322007,165880,156127,94.12,617760,294428,323332,2023-09-28,202309
588000,科创50ETF,88.0,9465.0,405190,276229,128961,46.69,948984,656878,292106,2023-09-28,202309
588080,科创板50ETF,86.0,3534.0,157287,100661,56626,56.25,385962,271719,114243,2023-09-28,202309
510050,上证50ETF,104.0,39586.0,995831,537984,457847,85.1,2198103,1283714,914389,2023-10-31,202310
510300,沪深300ETF,104.0,46653.0,828358,441906,386452,87.45,1762652,997199,765453,2023-10-31,202310
510500,中证500ETF,88.0,34683.0,425515,237490,188025,79.17,761789,408295,353494,2023-10-31,202310
588000,科创50ETF,86.0,8695.0,331428,213091,118337,55.53,1063473,724224,339249,2023-10-31,202310
588080,科创板50ETF,92.0,3607.0,142362,90945,51417,56.54,434174,297418,136756,2023-10-31,202310
510050,上证50ETF,182.0,37856.0,1045062,593234,451828,76.16,2198678,1347765,850913,2023-11-30,202311
510300,沪深300ETF,98.0,43754.0,828668,432784,395884,91.47,1585341,950148,635193,2023-11-30,202311
510500,中证500ETF,86.0,39072.0,516967,253300,263667,104.09,745348,418524,326824,2023-11-30,202311
588000,科创50ETF,86.0,7817.0,338886,211450,127436,60.27,1056006,747451,308555,2023-11-30,202311
588080,科创板50ETF,92.0,3540.0,166681,104713,61968,59.18,471371,333837,137534,2023-11-30,202311
510050,上证50ETF,170.0,53636.0,1360188,781251,578937,74.1,1795353,979694,815659,2023-12-29,202312
510300,沪深300ETF,98.0,65385.0,1108112,591100,517012,87.47,1430638,809981,620657,2023-12-29,202312
510500,中证500ETF,90.0,38462.0,504042,280874,223168,79.45,647953,334800,313153,2023-12-29,202312
588000,科创50ETF,86.0,7238.0,278666,180374,98292,54.49,851918,554812,297106,2023-12-29,202312
