,ic
2013-05,0.1643440422908664
2013-06,0.031529458910813435
2013-07,-0.10258078625010598
2013-08,0.02125051097444027
2013-09,0.030762932326665916
2013-10,-0.056413483342235164
2013-11,0.10749783906066623
2013-12,0.049082573134698895
2014-01,-0.11636196319445455
2014-02,-0.032976124326765735
2014-03,0.001787160850327781
2014-04,-0.06788395725291607
2014-05,0.0023238328774782
2014-06,-0.04206136795524814
2014-07,-0.08178053103936603
2014-08,-0.14870793146396533
2014-09,0.049950014651310465
2014-10,-0.043376573678958565
2014-11,0.07039986703726682
2014-12,0.06612138097129218
2015-01,0.04988739679337851
2015-02,-0.04831380743095839
2015-03,-0.07654847060242977
2015-04,-0.0014254276240965541
2015-05,-0.0569260412075348
2015-06,0.23275270081921315
2015-07,-0.07056353903658923
2015-08,0.1420249562116602
2015-09,-0.048026507357173315
2015-10,-0.04975783729207816
2015-11,-0.03824385317289214
2015-12,0.11802177086508442
2016-01,-0.05716226015662814
2016-02,0.0017949165067938746
2016-03,-0.08374053218482344
2016-04,0.16181182243523085
2016-05,0.06338949544121014
2016-06,-0.015079555037095207
2016-07,-0.1022014521173671
2016-08,-0.028940827241289855
2016-09,-0.050045127031159146
2016-10,-0.11391491030609921
2016-11,-0.046801085116379974
2016-12,0.030476066376587323
2017-01,0.017657428341408727
2017-02,0.12913335684444377
2017-03,0.1637069088452562
2017-04,0.05717425695525557
2017-05,0.16144298105678956
2017-06,0.04002074227095964
2017-07,-0.02315072241632532
2017-08,0.01660255661288869
2017-09,0.1420305936602482
2017-10,0.08761082391466682
2017-11,0.10672976612901533
2017-12,0.12457378366395208
2018-01,0.1492301654202423
2018-02,-0.12714420040122726
2018-03,0.06855229579575228
2018-04,0.053914482372286285
2018-05,0.17172635611607062
2018-06,-0.029662097613063366
2018-07,0.007287341750930913
2018-08,-0.04476432306233702
2018-09,-0.04851207043281481
2018-10,-0.14627703508301262
2018-11,0.04932978201243923
2018-12,0.21922549088487178
2019-01,-0.265159336831733
2019-02,-0.02599268170149921
2019-03,0.051433572197988636
2019-04,-0.008644430328212719
2019-05,0.12144026194135796
2019-06,0.12537270734348188
2019-07,0.053258695994907325
2019-08,0.04491254892136448
2019-09,0.12158603141438185
2019-10,-0.026866750442933962
2019-11,-0.015626198081710424
2019-12,0.1070186391417121
2020-01,0.035201648836960135
2020-02,0.043024989928013485
2020-03,0.17727034528875185
2020-04,-0.025457624564430875
2020-05,0.13485523895727763
2020-06,0.047560443578116916
2020-07,-0.01580205010542712
2020-08,-0.03428140702910266
2020-09,0.018887343651847598
2020-10,-0.11504192392447762
2020-11,0.14790750519496743
2020-12,0.17204589133523276
2021-01,-0.1084805230399959
2021-02,-0.05938767382429082
2021-03,-0.03692327979162921
2021-04,-0.07221727938420756
2021-05,0.008934422866974111
2021-06,0.05501088481096252
2021-07,-0.009076141582705737
2021-08,-0.10951685819284852
2021-09,0.05208442475204704
2021-10,-0.048471676415919526
2021-11,-0.14280331678247507
2021-12,-0.05419025248461979
2022-01,0.06595714916694388
2022-02,-0.1403762377306998
2022-03,0.10693030252158187
2022-04,-0.024776495675778536
2022-05,0.053106854798914124
2022-06,-0.10614355032524157
2022-07,-0.030598594476798992
2022-08,0.027466525103033414
2022-09,-0.05945337386807949
2022-10,-0.1296259508184652
2022-11,-0.011532652401205582
2022-12,0.05541612665105629
2023-01,-0.12401300065810066
2023-02,-0.06194537562040228
2023-03,0.019375302804112954
2023-04,-0.07624866182053147
2023-05,0.05041864637598532
2023-06,-0.12017662949193741
2023-07,-0.04583627056156566
2023-08,-0.023939541911730568
2023-09,-0.17088500179150595
2023-10,-0.04201530700444386
2023-11,0.047600796211618515
2023-12,0.23323640210926627
2024-01,0.1453106614734543
2024-02,-0.011130847889679111
2024-03,0.09026631636967027
2024-04,-0.013357686986602812
2024-05,0.09073382998548715
2024-06,-0.05726797594709
2024-07,-0.022289765164574878
2024-08,-0.13006920438317407
2024-09,-0.08399458298486688
2024-10,-0.0713417033054762
2024-11,0.19329627569346766
2024-12,0.17386922896927215
2025-01,-0.15414021345905798
2025-02,0.07430718057369606
2025-03,-0.05711407217385072
2025-04,-0.08213885209660517
2025-05,0.009793848355308596
2025-06,-0.02476097507362935
2025-07,0.09886778807695126
2025-08,0.016738670373573676
2025-09,-0.05703000908146996
2025-10,-0.14076190530614102
2025-11,0.15916883701542744
2025-12,0.032432712609061796
2026-01,-0.01740613790184779
2026-02,-0.03552114295110053
2026-03,0.006010364671848771
2026-04,0.07176639373128661
2026-05,0.14451945600119154
2026-06,-0.09904130426740891
2026-07,0.07585166544281007
