ym,ic_accrual,n,q1,q2,q3,q4,q5
2018-02,0.1854,2813,0.08253,0.04611,0.05298,0.02801,0.01817
2018-03,0.0,2818,-0.03626,-0.04763,-0.03117,-0.04158,-0.04165
2018-04,-0.1204,2820,-0.02719,-0.01914,-0.00145,-1e-05,0.00342
2018-05,-0.0271,2924,-0.10604,-0.10416,-0.10364,-0.09362,-0.10259
2018-06,-0.0858,2940,-0.00589,-0.00712,-0.00208,0.00557,0.01816
2018-07,-0.0424,2949,-0.08007,-0.08536,-0.08023,-0.07648,-0.07253
2018-08,-0.0701,2958,-0.00775,-0.00846,-0.00569,-0.00776,0.00212
2018-09,-0.0786,2981,-0.09976,-0.09469,-0.09565,-0.08824,-0.08623
2018-10,0.0557,2983,0.05841,0.0609,0.05106,0.05093,0.05233
2018-11,0.0039,3015,-0.02962,-0.04572,-0.04555,-0.03901,-0.04197
2018-12,-0.0734,3025,-0.02495,-0.01918,-0.01449,-0.01499,-0.00984
2019-01,0.1003,3031,0.23101,0.22805,0.21793,0.21321,0.20789
2019-02,0.0116,3039,0.10802,0.10464,0.10944,0.10801,0.10126
2019-03,-0.1168,3043,-0.05409,-0.04126,-0.03369,-0.02666,-0.02101
2019-04,-0.0017,3045,-0.04808,-0.04045,-0.04738,-0.04684,-0.05038
2019-05,-0.024,2994,0.00793,0.00361,0.0064,0.00944,0.01017
2019-06,-0.0149,2997,-0.02093,-0.00947,-0.008,-0.01016,-0.01312
2019-07,0.0158,3015,-0.0104,-0.0134,-0.00811,-0.00857,-0.01486
2019-08,0.0824,3020,0.01978,0.02278,0.01401,0.01392,0.00413
2019-09,-0.0213,3038,-0.00538,0.00073,-0.00245,-0.00694,0.00099
2019-10,-0.1045,3038,-0.02964,-0.0253,-0.02177,-0.01988,-0.00764
2019-11,0.0058,3080,0.077,0.08371,0.08677,0.08299,0.08659
2019-12,0.0903,3089,0.02217,0.00706,0.00815,0.0036,-0.00104
2020-01,0.0343,3121,0.01497,-0.00466,0.00248,-0.00797,-0.00102
2020-02,-0.0215,3131,-0.04266,-0.03378,-0.04073,-0.02912,-0.03958
2020-03,-0.0012,3136,0.03049,0.02463,0.02887,0.02669,0.02918
2020-04,0.0064,3145,0.02134,0.0262,0.02579,0.03386,0.01181
2020-05,0.0312,3136,0.06989,0.07663,0.07247,0.0738,0.07098
2020-06,-0.0668,3157,0.12315,0.13087,0.13789,0.13576,0.15646
2020-07,0.0131,3179,0.03809,0.03609,0.02943,0.0314,0.03427
2020-08,-0.0664,3191,-0.07158,-0.07082,-0.06935,-0.06365,-0.06201
2020-09,-0.0364,3191,-0.00208,0.00361,0.00378,0.01136,0.00233
2020-10,-0.0905,3197,0.01342,0.02672,0.02823,0.03436,0.04861
2020-11,-0.055,3266,-0.03202,-0.02928,-0.03163,-0.02789,-0.02483
2020-12,-0.0344,3292,-0.0757,-0.0678,-0.05913,-0.05572,-0.05972
2021-01,-0.0619,3332,0.02319,0.0239,0.04279,0.03402,0.04165
2021-02,-0.0232,3355,0.01081,0.00662,0.01898,0.02698,0.01707
2021-03,-0.0773,3382,-0.0059,0.00917,0.01133,0.01819,0.01099
2021-04,0.0043,3390,0.06282,0.06696,0.06297,0.06595,0.06609
2021-05,0.038,3487,0.03436,0.04016,0.0329,0.03231,0.02263
2021-06,-0.0181,3532,-0.00439,0.01295,-0.0009,0.01299,-0.0039
2021-07,-0.0744,3567,0.0478,0.05939,0.06863,0.08018,0.09026
