m,px1000,pe1000,px300,pe300,spread,s1_pct,m,ret1000,ret300,fwd_ret1000,fwd_ret300,diff_bm,s1,c_pct,s2,scomb,retdiv,fwd_retdiv,diff_div,a13,fwd3_ret1000,fwd3_ret300,diff_bm_3m,switch_ret
2019-10,5253.88,23.09,3886.75,11.67,0.6823781770679394,0.2552910052910053,2019-10,0.004107109752904403,0.018932869842418265,-0.024224002070850625,-0.01494307583456611,0.009280926236284515,False,,False,False,0.0062781808774192704,-0.008722294098412076,0.01550170797243855,0.00794880906027906,0.08472405155808671,0.030140863189039635,-0.054583188369047075,-0.024224002070850625
2019-11,5126.61,22.62,3828.67,11.46,0.6799717594013809,0.2619047619047619,2019-11,-0.024224002070850625,-0.01494307583456611,0.08590862187683479,0.0699746909501211,-0.01593393092671369,False,,False,False,-0.008722294098412076,0.061476164181851756,-0.024432457694983034,-0.020427296025961272,0.14519536301766678,0.029091042058991823,-0.11610432095867496,0.08590862187683479
2019-12,5567.03,24.51,4096.58,12.3,0.6894819351616494,0.3134920634920635,2019-12,0.08590862187683479,0.0699746909501211,0.023707434664444138,-0.02262374956671176,-0.0463311842311559,False,,False,False,0.061476164181851756,-0.027597684091528407,-0.051305118755972545,0.03718710009182091,-0.025130096299103788,-0.10018600881711093,-0.07505591251800714,0.023707434664444138
2020-01,5699.01,25.34,4003.9,11.96,0.7508164263705073,0.5105820105820106,2020-01,0.023707434664444138,-0.02262374956671176,0.030173661741249802,-0.015946951722070946,-0.04612061346332075,False,,False,False,-0.027597684091528407,-0.02978897833276206,-0.059962640074011864,0.002078773944095502,-0.0036567754750386205,-0.022807762431629186,-0.019150986956590565,0.030173661741249802
2020-02,5870.97,25.8,3940.05,11.57,0.8019589507219865,0.6362433862433863,2020-02,0.030173661741249802,-0.015946951722070946,-0.07559909180254709,-0.06443826854989154,0.01116082325265555,False,,False,False,-0.02978897833276206,-0.05114562671115985,0.02445346509138724,-0.04027812418711185,-0.009294886534933822,-0.018535297775408965,-0.009240411240475144,-0.07559909180254709
2020-03,5427.13,24.23,3686.16,10.85,0.8034264548419657,0.6468253968253969,2020-03,-0.07559909180254709,-0.06443826854989154,0.0462564928424416,0.06142435488421549,0.015167862041773894,False,,False,False,-0.05114562671115985,0.028924767429574727,-0.017331725412866872,0.04231245148321339,0.16443866279230468,0.1296199839399268,-0.03481867885237788,0.0462564928424416
2020-04,5678.17,27.89,3912.58,11.77,0.8627142803672123,0.75,2020-04,0.0462564928424416,0.06142435488421549,0.024344110866705293,-0.011644490336299773,-0.035988601203005066,True,,False,False,0.028924767429574727,-0.0215005916696821,-0.045844702536387394,0.02198811987169158,0.2577274016100257,0.19998824305189933,-0.05773915855812639,-0.011644490336299773
2020-05,5816.4,28.83,3867.02,11.6,0.9104114135379917,0.8029100529100529,2020-05,0.024344110866705293,-0.011644490336299773,0.08650711780482778,0.07678781076901586,-0.00971930703581192,True,,False,False,-0.0215005916696821,0.02182810368349264,-0.06467901412133514,0.029827839809910772,0.24201396052541102,0.2454603286251429,0.003446368099731867,0.07678781076901586
2020-06,6319.56,31.83,4163.96,12.38,0.9443269740375513,0.83994708994709,2020-06,0.08650711780482778,0.07678781076901586,0.13007709397489697,0.12754445287658878,-0.002532641098308197,True,,False,False,0.02182810368349264,0.09276348929219425,-0.03731360468270273,0.04674936097679483,0.04709188614397197,0.10169165890162235,0.05459977275765038,0.12754445287658878
2020-07,7141.59,35.66,4695.05,13.67,0.9588259616991361,0.8703703703703703,2020-07,0.13007709397489697,0.12754445287658878,0.011546448339935456,0.02580803186334535,0.014261583523409893,True,,False,False,0.09276348929219425,0.03177963257177385,0.020233184231838397,0.0962845437443498,-0.08827586013758848,5.963727755831094e-05,0.08833549741514679,0.02580803186334535
2020-08,7224.05,34.31,4816.22,14.45,0.8647424423119172,0.7552910052910053,2020-08,0.011546448339935456,0.02580803186334535,-0.08400966217011241,-0.04751028815128888,0.03649937401882353,True,,False,False,0.03177963257177385,-0.046665307574193404,0.037344354595919005,0.06632447674589592,-0.08328984433939413,0.02990519536067704,0.11319503970007117,-0.04751028815128888
