,V1_net,V1_cash_gross,V1_net_g15,V1_net_g30,V2_net,V3_net,BH_same
201808,1.5572679091687227,1.5796509966917696,1.5628353873934262,1.5461891801381913,1.3846793992481397,1.580573838521606,2.003663003663002
201809,1.5620428354998057,1.5847234003275739,1.5676839872720172,1.5508181375573578,1.3924789340744947,1.5863529019165659,2.010989010989009
201810,1.4585812825004865,1.4798392076544653,1.4638684804857847,1.4480611002329453,1.292736853413953,1.4274286585551612,1.8095238095238078
201811,1.4608856754981296,1.482858153355604,1.4663496312694189,1.4500157002977023,1.3081472852408365,1.4303181902526414,1.8131868131868116
201812,1.407661475671718,1.428931118886825,1.4129505134190277,1.3971397637421752,1.2378429389670058,1.2973997321685578,1.6446886446886435
201901,1.4096290147318549,1.4320861064141717,1.4152116380687219,1.3985266153344575,1.2392437720380078,1.2976695074334514,1.747252747252746
201902,1.4123331228716183,1.4348332942605664,1.4179264554213695,1.4012094256091319,1.2416210281359583,1.3001588423159638,1.802197802197801
201903,1.415199877950218,1.4377457202078543,1.42080456385155,1.4040536017967435,1.2508741249465642,1.3027979059361792,1.8754578754578743
201904,1.4624032379514629,1.4868589612956347,1.4684809234456981,1.4503198122518817,1.2840448994549378,1.407062450845634,2.0293040293040283
201905,1.407643629370201,1.4315556558043612,1.4135855981898422,1.3958312151962469,1.2291788747884629,1.3054694941058769,1.8827838827838819
201906,1.4646554102110572,1.4900719353652,1.4709703619705037,1.4521032508984237,1.2840566139623655,1.3791243877422006,1.9890109890109882
201907,1.513247304272965,1.5396819326992877,1.5198149215728896,1.500193500277623,1.3316273130701173,1.4476996335415362,2.0879120879120867
201908,1.509107027014895,1.535499399391265,1.5156640955884928,1.4960742892774264,1.3296801583785478,1.4400801617860544,2.0769230769230758
201909,1.5100697236976615,1.5367857192538503,1.516706681141439,1.4968792171302445,1.3382947967350116,1.4400801617860544,2.0769230769230758
201910,1.5429939784772515,1.5703566889194611,1.5497914882309989,1.5294846001485636,1.3572105985277767,1.4934164640744267,2.1538461538461524
201911,1.5907066271087935,1.618927583108707,1.5977173236888549,1.5767736017793585,1.3973235295441262,1.5721510055477383,2.267399267399266
201912,1.6286361639873674,1.6587479001107224,1.636114504560821,1.613777835395626,1.4139710345639167,1.6127881882436412,2.326007326007325
202001,1.74388047270995,1.7762969638980965,1.7519308991646587,1.7278861035211868,1.4367986770972374,1.7270802645758678,2.49084249084249
202002,1.73732847339293,1.7701681156197175,1.7454830205557774,1.721129151025496,1.3535449219757152,1.719460792820386,2.479853479853479
202003,1.6885321377671547,1.7222783822409449,1.6969085142135538,1.6718986550932555,1.2605068292778576,1.5721510055477383,2.2673992673992664
202004,1.7617758034093463,1.7973075922848942,1.7705947705166696,1.7442646489900921,1.26102168229452,1.8540714605005637,2.673992673992673
202005,1.7719742887882495,1.8077287595049982,1.7808484928352089,1.7543535188882549,1.26271887331362,1.8921688192779726,2.728937728937728
202006,1.7784496560887355,1.8144693068475917,1.7873894196860554,1.7606992193273774,1.2612294359382688,1.912487410625924,2.7582417582417573
202007,1.8062553308300149,1.8433471973503273,1.815460230434181,1.7879803843750017,1.2908990204024422,1.9836024803437537,2.86080586080586
202008,2.025693838893845,2.0676171453456758,2.0360970991303735,2.0050409782986667,1.3443957587390991,2.466169024857599,3.5567765567765552
202009,1.9635389742341844,2.0044631737584693,1.973693743024977,1.943380538926185,1.2877331753550512,2.2858415266445307,3.2967032967032956
202010,1.935123671503319,1.9761545715878086,1.945303537094295,1.9149181408611142,1.2663127427362797,2.1486910350458586,3.0989010989010977
202011,1.9454240997500465,1.986688319431121,1.9556618225837439,1.9251037900959658,1.267037937790784,2.1842485699047733,3.1501831501831488
202012,1.9548155695496001,1.9962942592671062,1.9651064721345026,1.9343897667316172,1.2814345237801692,2.2147264569267007,3.194139194139193
202101,1.944843809515928,1.986940251436223,1.955286312803901,1.924120389976143,1.274983921506721,2.1867883938232673,3.1538461538461524
202102,1.9269676119540198,1.969224045279964,1.9374486849300072,1.9061698571573864,1.301920998084627,2.1512308589643525,3.1025641025641013
202103,1.949670917177836,1.9925889420060796,1.9603157492258294,1.928548881413893,1.3541945889460212,2.194407865578749,3.1648351648351634
202104,2.0070750579683323,2.0516859121878226,2.0181388664296884,1.9851234260750026,1.3975120181327907,2.336638005014409,3.3699633699633686
202105,1.9831590700057948,2.0272894810171325,1.9941036180270393,1.96144427339272,1.3851757770576318,2.270602583133567,3.2747252747252733
202106,2.0608668366856913,2.106870684213743,2.072275703235836,2.0382313945608974,1.4166236880943588,2.4483902574281413,3.5311355311355292
202107,2.0851839803249375,2.1322270330399014,2.0968495238293543,2.062041345691306,1.4278227721365253,2.494107087961032,3.597069597069595
202108,2.168259005020046,2.2175355529791148,2.1804776384861353,2.1440206310346417,1.444278310139367,2.6363372273966914,3.8021978021978002
202109,2.0710757416213945,2.1187582987785927,2.082897814237273,2.0476266271160046,1.429860987570486,2.4941070879610314,3.597069597069595
202110,2.1374073288596707,2.1869150357869493,2.149681271168341,2.1130632016855238,1.4752848839472996,2.5982398686192822,3.747252747252745
202111,2.2028341288104265,2.2538868091923927,2.2154910364223195,2.177730555302735,1.4827153668579978,2.7023726492775335,3.897435897435896
202112,2.209874502339722,2.2611623375381336,2.2225895524508603,2.184655918800466,1.5307298219656587,2.712531944951509,3.91208791208791
202201,2.0104681620532925,2.057602583721551,2.0221524819800716,1.9872959330247586,1.3952593937637512,2.323938885421939,3.35164835164835
202202,2.0109834226420524,2.0607345345975774,2.023310671092777,1.986547448434211,1.3949296282416885,2.322828358588352,3.2600732600732583
202203,2.0143031886777485,2.0641364306249224,2.0266507871623216,1.9898268751432318,1.3972324020735776,2.326662923610008,3.5897435897435876
202204,2.0174430303508237,2.067353951016201,2.0298098759400545,1.9929285637966072,1.3750039598614823,2.3302896632427568,3.3003663003662984
202205,2.020416842925317,2.0704013348000156,2.03280191786743,1.995866240813467,1.3758420181580833,2.3337246275012316,3.175824175824174
202206,2.02311907728935,2.0731704216118914,2.0355207168207095,1.9985356396362024,1.377682157035348,2.3368458996816264,2.930402930402929
202207,2.0257598417036142,2.0758765177263294,2.0381776690158713,2.00114431544626,1.3794804367586255,2.3398961697140592,3.2380952380952364
202208,2.0281521512104654,2.0783280122352883,2.040584643284913,2.0035075553880675,1.38110952629601,2.3426594567220316,3.194139194139192
202209,2.0304400581218585,2.0806725212606576,2.042886574974736,2.0057676613570723,1.3826675208620083,2.3453021513339105,2.9560439560439544
202210,2.0328831444072475,2.083176048750053,2.0453446372819495,2.0081810610757866,1.384331187831126,2.348124089119317,3.09157509157509
202211,2.035195944002832,2.0855460662969714,2.0476716142471285,2.0104657572516067,1.3932719258331137,2.3507955365454216,3.0732600732600717
202212,2.037843566785491,2.0882591904537304,2.0503354668522107,2.013081208092269,1.357107374910259,2.3538537284793586,2.9230769230769216
202301,2.0409511234275888,2.091443627092286,2.0534620726930095,2.0161510040183406,1.3579688863154016,2.3574431766134962,3.0476190476190457
202302,2.0437388967884647,2.094300369109503,2.0562669349937828,2.018904902431678,1.3598237614482322,2.3606632523968423,3.1282051282051264
202303,2.10675475153984,2.1609696448355975,2.120183172514514,2.0801455213920543,1.3640982690873773,2.5024467881602366,3.3223443223443203
202304,2.123854432952487,2.1785570507864698,2.137403543033933,2.097006276092826,1.3862702302994516,2.538314272444782,3.3699633699633678
202305,2.27117487448347,2.3299787770275224,2.28573907888639,2.2423167195741995,1.4280535955289277,2.8390493329844353,3.7692307692307665
