ym,a4b_s1a_peg2,a4b_s1b_peg15,a4b_s1c_pegq60,a4b_s2a_gqblend,a4b_s2b_gqrank,a4b_s2c_growdom
2012-02,0.07551446963211669,0.08136346498794658,0.08758150237483087,0.14213895349666816,0.11473401075911537,0.16866483069590904
2012-03,-0.14941025554183318,-0.15041587111577617,-0.167805111509273,-0.1785298559746093,-0.16494704759768447,-0.10416343216250465
2012-04,0.17809465488583676,0.17809465488583676,0.1740804269106156,0.2163617916505028,0.1581304771178189,0.19047476947867858
2012-05,0.07806972026982403,0.07806972026982403,0.12926011652965122,0.2852739726027397,0.3662778079218665,0.17529129270980948
2012-06,-0.20447644764476444,-0.2046873107256023,-0.22658578565131604,0.07179403209339061,0.13196131911728243,0.19403594613858333
2012-07,0.35278816012135694,0.3470523199199346,0.34128120371592874,0.18853866838583208,0.012222757610737878,0.006615470960678775
2012-08,-0.325478860231773,-0.321727730817026,-0.30359278368127923,-0.1712482201646381,-0.16365110637556457,-0.06909943828202543
2012-09,-0.03498104948486627,-0.02323904293381038,-0.04992123065517562,0.046828730233805654,0.056705983463008466,0.07790947879839018
2012-10,-0.10049905930249271,-0.08939740805041209,-0.08078055094056344,-0.08554311873221392,-0.09109715770492163,-0.022096013518219302
2012-11,0.04201979580670371,0.029763981922019553,-0.016753140795070558,-0.06860717298069573,0.06118977927563947,-0.19498085126603543
2012-12,-0.01995944655001736,-0.02141979771168226,-0.0544968646437419,0.08052649648385901,0.11559634458596114,0.17896565534462916
2013-01,0.27397023075168153,0.2627439973774583,0.2652021332273161,0.12803348529933092,0.19648075894001757,0.0289389982528759
2013-02,0.008663461414131933,0.0017764866814870821,-0.028343568014191703,0.19161963329821485,0.12721285080595324,0.23215189697648217
2013-03,0.1514524909373357,0.1495055552826692,0.05816279181437476,0.0500070407447165,0.051880045639971964,0.0383928735422866
2013-04,0.1111111111111111,0.1111111111111111,0.03992094861660079,0.03087746726597616,-0.017416783872480076,-0.025092827828805942
2013-05,-0.09756490888566359,-0.08819260650559206,-0.14066243833685693,0.10842593591541698,0.20560452206021823,0.05457515836197463
2013-06,0.08648366558814322,0.09418706293706294,0.05887445887445889,0.2681256768838108,0.23694245739532926,0.2266042503836382
2013-07,-0.09141675922497842,-0.11647051257315585,-0.11112637362637359,0.07286629777477782,0.05582993593476994,0.10220866415854032
2013-08,0.12510124739321676,0.12140803092450195,0.07897806484177287,0.12310067347404315,0.06609398328597751,0.09629992003868582
2013-09,0.13890730627328102,0.14015746911783458,0.08326765172866059,-0.03302598103192286,-0.04124919365823866,-0.013142738112002943
2013-10,0.4444432925565001,0.4444432925565001,0.5005803185578466,0.11608801746650113,0.07143713343893145,0.08414743781839976
