variant,month,gross_ret,ew_ret,turnover,holdings
V2,2021-12-31,-0.005349,0.036054,1.0,国防军工|通信|有色金属|电子|计算机
V2,2022-01-28,-0.103156,-0.084616,1.0,传媒|社会服务|建筑材料|公用事业|轻工制造
V2,2022-02-28,0.045182,0.037272,1.0,银行|房地产|交通运输|建筑装饰|煤炭
V2,2022-03-30,-0.038079,-0.059648,0.8,煤炭|有色金属|基础化工|石油石化|综合
V2,2022-04-29,-0.099515,-0.091414,0.6,煤炭|综合|房地产|农林牧渔|医药生物
V2,2022-05-31,0.046371,0.059702,0.8,煤炭|食品饮料|家用电器|交通运输|商贸零售
V2,2022-06-30,0.084386,0.071405,0.8,煤炭|汽车|石油石化|电力设备|国防军工
V2,2022-07-29,-0.01811,-0.026445,0.6,汽车|电力设备|食品饮料|有色金属|家用电器
V2,2022-08-31,-0.050329,-0.021655,0.8,汽车|环保|机械设备|公用事业|农林牧渔
V2,2022-09-30,-0.064998,-0.071981,1.0,煤炭|石油石化|综合|非银金融|传媒
V2,2022-10-31,-0.125254,-0.032085,0.8,煤炭|房地产|银行|交通运输|食品饮料
V2,2022-11-30,0.018235,0.09668,1.0,计算机|国防军工|机械设备|医药生物|通信
V2,2022-12-30,-5.5e-05,-0.017264,1.0,房地产|建筑材料|食品饮料|非银金融|传媒
V2,2023-01-31,0.019093,0.061388,0.6,食品饮料|传媒|美容护理|社会服务|商贸零售
V2,2023-02-28,-0.002516,0.011985,1.0,有色金属|计算机|电力设备|汽车|机械设备
V2,2023-03-31,0.016587,-0.012647,0.6,计算机|机械设备|通信|轻工制造|纺织服饰
V2,2023-04-28,0.024737,-0.013207,0.6,计算机|通信|传媒|电子|建筑装饰
V2,2023-05-31,-0.050729,-0.043116,0.4,通信|传媒|建筑装饰|非银金融|石油石化
V2,2023-06-30,0.021916,0.013419,0.8,通信|公用事业|电子|环保|计算机
V2,2023-07-31,-0.010793,0.031817,0.8,通信|家用电器|汽车|机械设备|电力设备
V2,2023-08-31,-0.073364,-0.05858,0.8,汽车|非银金融|房地产|商贸零售|建筑材料
V2,2023-09-28,-0.002172,-0.008855,1.0,传媒|煤炭|石油石化|计算机|环保
V2,2023-10-31,-0.032654,-0.031873,0.6,煤炭|石油石化|医药生物|银行|机械设备
V2,2023-11-30,0.014567,0.005747,0.8,医药生物|电子|汽车|农林牧渔|钢铁
V2,2023-12-29,-0.028626,-0.022963,0.4,医药生物|汽车|农林牧渔|煤炭|传媒
V2,2024-01-31,-0.07588,-0.107463,0.8,煤炭|有色金属|公用事业|综合|电力设备
V2,2024-02-29,0.061935,0.081803,0.6,煤炭|公用事业|银行|石油石化|家用电器
V2,2024-03-29,0.010198,0.018916,1.0,通信|计算机|电子|传媒|美容护理
V2,2024-04-30,-0.010306,0.001045,0.8,通信|有色金属|石油石化|综合|纺织服饰
V2,2024-05-31,-0.014024,-0.013488,0.8,有色金属|家用电器|银行|基础化工|医药生物
V2,2024-06-28,-0.062588,-0.072403,0.8,银行|煤炭|房地产|农林牧渔|公用事业
V2,2024-07-31,-0.018014,-0.006712,0.6,银行|公用事业|电子|通信|石油石化
V2,2024-08-30,-0.044285,-0.043529,0.8,电子|综合|非银金融|商贸零售|国防军工
V2,2024-09-30,0.222852,0.224152,0.6,综合|非银金融|石油石化|煤炭|传媒
V2,2024-10-31,0.041249,0.016997,0.6,非银金融|传媒|房地产|计算机|美容护理
V2,2024-11-29,0.032394,0.017078,0.6,传媒|计算机|电子|综合|国防军工
V2,2024-12-31,-0.032903,-0.022755,0.4,传媒|计算机|综合|商贸零售|纺织服饰
V2,2025-01-27,-0.011026,-0.029116,1.0,银行|通信|家用电器|公用事业|汽车
V2,2025-02-28,0.038213,0.033775,0.4,银行|家用电器|汽车|有色金属|机械设备
V2,2025-03-31,-0.019658,0.001295,0.6,汽车|机械设备|计算机|电子|钢铁
V2,2025-04-30,-0.025295,-0.025018,1.0,有色金属|家用电器|煤炭|美容护理|社会服务
