ym,EP~log_mv,EP~amt20,EP~pb_inv,EP~roe_ttm,BP~log_mv,BP~amt20,BP~pb_inv,BP~roe_ttm,DP~log_mv,DP~amt20,DP~pb_inv,DP~roe_ttm,SP~log_mv,SP~amt20,SP~pb_inv,SP~roe_ttm,EP_stab~log_mv,EP_stab~amt20,EP_stab~pb_inv,EP_stab~roe_ttm,EP_impr~log_mv,EP_impr~amt20,EP_impr~pb_inv,EP_impr~roe_ttm
2020-07,-0.026292885244548283,0.023240746160330384,-0.4197690135940737,0.6537504516603376,-0.2726150210356816,-0.35504821607194587,-0.9999999999999999,-0.17098947180307694,0.0728892593869552,0.030339305634514337,-0.26901655937687585,0.40867163133757567,-0.1728778576820693,-0.17627737337528182,-0.6021401582717673,0.21330181589577163,0.12299955421037861,0.049208111381514465,-0.2583570873126466,0.24887176644697498,0.08408578011510141,0.08246266566049001,0.03545350684384785,0.31945395525844217
2020-08,-0.0016492109813831144,0.040758929205077024,-0.37167895041162,0.6733215626811613,-0.2530153649938206,-0.34037899552223494,-1.0,-0.25106077849706737,0.09023446799303858,-0.006569445206450781,-0.29209036784115083,0.3544367503068793,-0.18675994881020813,-0.19336885978930007,-0.5897038196832279,0.15169629817802896,0.1110738250294106,0.049203556709171654,-0.24920876770170572,0.3323346517783917,0.10953832183722398,0.13112456898092284,0.09460370980388196,0.3992929057252249
2020-09,0.000786154968410838,-0.015612106490972328,-0.36536547516934786,0.67703874405754,-0.23474498963786253,-0.3450593547902144,-0.9999999999999999,-0.2551094916646765,0.09053610237014487,-0.046044034485266935,-0.2875893393594078,0.35235564695530525,-0.180411988782794,-0.21857530149465113,-0.5836228318939705,0.1541021162678378,0.11183584281049369,0.0013110517975892344,-0.2535371233051837,0.3296363288740725,0.10337443092936097,0.0832686741798032,0.08437955112894466,0.3975042201766659
2020-10,0.01911336525595,0.05341053750185519,-0.3534198443658216,0.6803079815699595,-0.2199359885143818,-0.3701261210624272,-1.0,-0.2677286723316466,0.09809913548340603,-0.0064811797089814535,-0.2817475377765494,0.329947307218807,-0.16896683933893122,-0.17760217101530745,-0.5768687462110749,0.1548264937704926,0.10732336716256027,0.026206905409165655,-0.2641767593744289,0.30957759705173565,0.10424445043685371,0.11931976906960748,0.12290786420914034,0.42607153251228674
2020-11,0.01280055186811571,0.05424851438647434,-0.3508215577939489,0.6900681256256542,-0.21086798815784213,-0.30161799112331966,-0.9999999999999998,-0.26163390388521035,0.10307337577319103,0.01601170004917045,-0.26934381581778233,0.33499642165593396,-0.16675308772362327,-0.1251225929835661,-0.5652003894775105,0.16518203979512475,0.10557392321965273,0.03469049355721323,-0.26696505424476874,0.3085989920983936,0.09399948302073739,0.10112555641726248,0.11967767840578207,0.42741172283120504
2020-12,-0.013761140415905324,-0.01938371985838351,-0.35679963063323633,0.670162215531962,-0.24060850463176955,-0.33734071584608616,-1.0,-0.27928002184066375,0.08998093764118453,-0.044054208461124005,-0.2749467610773682,0.3084452594973137,-0.20168540961577686,-0.19831196834083953,-0.5756923923368142,0.14472028338266937,0.07959492748388926,-0.01994934736138762,-0.2750559437265055,0.2987262575396259,0.08530572531980365,0.09987008213654902,0.12326623854289367,0.42523819653826433
2021-01,-0.03970729511925271,-0.012135810532492264,-0.3465420601072185,0.653037400613916,-0.27107914005145706,-0.3694116006068497,-1.0,-0.3058185675085245,0.09219032653146819,-0.03411396131101545,-0.2622724070913435,0.27085388166375163,-0.23364084040450953,-0.224525740557731,-0.5766693302497411,0.12331130059059695,0.07577796898366294,-0.0033898265929651903,-0.26556312219839084,0.2817952867575138,0.08735873788281609,0.1264218731852636,0.13352705607798415,0.42146450061317653
2021-02,-0.05293957812495447,0.010203764564501665,-0.34229369399831644,0.6646555378037615,-0.2620432450672163,-0.3428751654232576,-1.0,-0.3019433440870774,0.1173803330250326,-0.000599400350570026,-0.24361001372350513,0.24842744911385556,-0.23662287433086207,-0.18883423029616012,-0.5682959117897269,0.13604963080214505,0.08137031001186795,0.005592647330389753,-0.26347864995897113,0.27446674543034233,0.08023864207132564,0.12591073208888157,0.1285180313954122,0.42442624611901214
2021-03,-0.07655369791499467,0.013032730840790997,-0.3362484978670068,0.6835235237050331,-0.24720253456054234,-0.27026885065876616,-1.0,-0.2872237714597054,0.16036542251484043,0.014061596131679064,-0.2107493280767343,0.21396844687835553,-0.2428793037165148,-0.13442419700737085,-0.5575546060571611,0.1662252921060355,0.08494491068893262,0.02434060264768212,-0.25913142461485117,0.2713202784651544,0.07160005493293387,0.11441362735903507,0.12475969112362019,0.42883884460579275
2021-04,-0.06809536830399601,0.04298903169145281,-0.46980365541629726,0.5866191170099555,-0.3147437491422758,-0.2689861888007618,-1.0,-0.19135373360218969,0.157550658537352,-0.012098081328269988,-0.2326344908262701,0.2035223060584357,-0.2213513181476357,-0.09736414472359808,-0.6220560420888893,0.1325431031112923,0.09821540012203545,0.02421409152592339,-0.279790424501519,0.10720793639247102,0.074593767515106,0.13204625066728787,0.08157441554946153,0.3609359784722798
2021-05,-0.07645996712460541,-0.04466545612091545,-0.47832858537956185,0.5868264865952078,-0.3113819714698663,-0.3304113275283543,-1.0,-0.18384641461379725,0.09737935966390067,-0.02049699634825022,-0.2642446324789659,0.21852918031567842,-0.22321159132376645,-0.18333176987199173,-0.6306902144465546,0.14003930405518317,0.09448384945739945,-0.007398317153078316,-0.28769539228043395,0.1031346768205453,0.07105642991566335,0.08312257022031033,0.0775325247443634,0.36257027826151844
2021-06,-0.0891564892388655,-0.11559157665848098,-0.485618846447632,0.5823859898497754,-0.30990203147576817,-0.3941051228196062,-1.0,-0.17942437617985718,0.03577739048072691,-0.09013715790185,-0.2825216024804559,0.311758247409421,-0.23513559557748992,-0.2561959092495738,-0.6464356436349342,0.14350207944829418,0.08661349365037832,-0.05884085477136323,-0.2971847074115779,0.09338391127453767,0.0662142613106453,0.055866326854716694,0.07067678182440983,0.3605513431794825
